id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original_es,Oferta_es,Oferta PSPlus_es,Otra promo diferente a PSPLUS_es,País Store,Precio original_jp,Oferta_jp,Oferta PSPlus_jp,Otra promo diferente a PSPLUS_jp,Precio original_us,Oferta_us,Oferta PSPlus_us,Otra promo diferente a PSPLUS_us
10007176,EA SPORTS FC™ 24 Standard Edition para PS4 y PS5,2024-04-04 09:33:47.588861,"PS4, PS5",Deporte,EA Swiss Sarl,2023-09-28,No hay información,3.4,63367,28515,7604,6336,3802,17742,79.99,79.99,-1.0,0.5,ESP,9700.0,9700.0,-1.0,0.5,69.99,69.99,-1.0,0.5
10001130,Call of Duty®: Modern Warfare® III - Lote Multigeneración,2024-04-04 09:33:49.417494,"PS4, PS5",Acción,Activision Blizzard Int'l BV,2023-11-02," Español, Francés (Francia), Polaco, Italiano, Ruso,Alemán, Inglés",4.04,304316,188675,33474,36517,6086,42604,79.99,47.99,-1.0,-1.0,ESP,9800.0,5880.0,-1.0,-1.0,69.99,45.49,-1.0,-1.0
228748,Fortnite,2024-04-04 09:33:51.146364,PS5,"Acción, Aventura",EPIC GAMES,2017-07-21," Turco, Árabe, Español, Francés (Francia), Coreano, Japonés, Polaco, Italiano, Ruso,Alemán, Español (México), Portugués (Brasil), Inglés",4.32,6763682,4802214,676368,541094,67636,676368,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
10007788,Edición Kobe Bryant de NBA 2K24 para PS5™,2024-04-04 09:33:52.856929,PS5,Deporte,2K,2023-09-07," Chino (Tradicional), Español, Coreano, Francés (Francia), Japonés, Chino (Simplificado), Italiano,Alemán, Inglés",3.09,24862,8701,2983,2983,1988,8204,79.99,19.99,0.0,-1.0,ESP,8800.0,2200.0,0.0,-1.0,69.99,17.49,0.0,-1.0
10005844,Dragon's Dogma 2,2024-04-04 09:33:53.721156,PS5,"Acción, Juegos de rol",CE EUROPE LIMITED,2024-03-21," Árabe, Español, Francés (Francia), Japonés, Italiano, Ruso,Alemán, Español (México), Portugués (Brasil), Inglés",4.12,14807,10068,1332,740,592,2072,74.99,74.99,-1.0,-1.0,ESP,8990.0,8990.0,-1.0,-1.0,69.99,69.99,-1.0,-1.0
201930,Grand Theft Auto Online (PlayStation®5),2024-04-04 09:33:55.313323,PS5,"Acción, Aventura",Rockstar Games,2022-03-14," Chino (Tradicional), Español, Coreano, Francés (Francia), Chino (Simplificado), Polaco, Italiano, Ruso,Alemán, Español (México), Portugués (Brasil), Inglés",4.52,682179,538921,54574,34108,6821,47752,19.99,19.99,-1.0,-1.0,ESP,2475.0,2475.0,-1.0,-1.0,19.99,19.99,-1.0,-1.0
10008286,ARK: Survival Ascended,2024-04-04 09:33:56.757063,PS5,"Aventura, Juegos de rol",WILDCARD PROPERTIES,2023-11-30," Danés, Turco, Portugués (Brasil), Español, Francés (Francia), Japonés, Chino (Simplificado), Italiano, Ruso,Alemán, Neerlandés, Inglés",4.07,8239,5437,741,411,329,1318,44.99,35.99,-1.0,-1.0,ESP,6380.0,6380.0,-1.0,-1.0,44.99,35.99,-1.0,-1.0
10002427,eFootball™ 2024,2024-04-04 09:33:58.112605,PS5,Deporte,Konami,2021-09-30," Turco, Portugués (Portugal), Árabe, Español, Francés (Francia), Sueco, Italiano, Ruso,Alemán, Griego, Neerlandés, Inglés",3.75,275871,146211,33104,35863,8276,55174,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
10000956,Gran Turismo™ 7,2024-04-04 09:33:59.443325,"PS4, PS5",Conducción/Carreras,Polyphony Digital Inc,2022-03-03," Turco, Portugués (Portugal), Árabe, Español, Francés (Francia), Checo, Japonés, Polaco, Italiano, Ruso,Alemán, Griego, Neerlandés, Inglés",4.35,18439,13091,2397,921,368,1659,79.99,49.59,-1.0,-1.0,ESP,8690.0,5387.0,-1.0,-1.0,69.99,39.89,-1.0,-1.0
10000657,HELLDIVERS™ 2,2024-04-04 09:34:01.012672,PS5,Acción,Sony Interactive Entertainment Europe,2024-02-08," Portugués (Portugal), Español, Francés (Francia), Polaco, Italiano, Ruso,Alemán, Inglés",4.52,56167,45495,3931,1123,561,4493,39.99,39.99,-1.0,-1.0,ESP,4480.0,4480.0,-1.0,-1.0,39.99,39.99,-1.0,-1.0
