id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original_es,Oferta_es,Oferta PSPlus_es,Otra promo diferente a PSPLUS_es,País Store,Precio original_jp,Oferta_jp,Oferta PSPlus_jp,Otra promo diferente a PSPLUS_jp,Precio original_us,Oferta_us,Oferta PSPlus_us,Otra promo diferente a PSPLUS_us
10007176,EA SPORTS FC™ 24 Standard Edition para PS4 y PS5,2024-05-15 17:40:06.594352,"PS4, PS5",Deporte,EA Swiss Sarl,2023-09-28,No hay información,3.3,78162,33609,8597,7816,4689,24230,79.99,79.99,0.0,-1.0,ESP,9700.0,9700.0,0.0,-1.0,69.99,69.99,0.0,-1.0
228748,Fortnite,2024-05-15 17:40:08.016354,PS5,"Acción, Aventura",EPIC GAMES,2017-07-21," Coreano, Italiano, Inglés, Español (México), Portugués (Brasil), Árabe, Español, Francés (Francia), Japonés, Polaco, Ruso, Turco,Alemán",4.32,6840690,4856889,684069,547255,68406,684069,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
10001130,Call of Duty®: Modern Warfare® III - Lote Multigeneración,2024-05-15 17:40:09.414357,"PS4, PS5",Acción,Activision Blizzard Int'l BV,2023-11-02," Italiano, Inglés, Español, Francés (Francia), Polaco, Ruso,Alemán",4.04,325932,198818,35852,39111,6518,45630,79.99,79.99,-1.0,-1.0,ESP,9800.0,9800.0,-1.0,-1.0,69.99,69.99,-1.0,-1.0
10002427,eFootball™ 2024,2024-05-15 17:40:10.986388,PS5,Deporte,Konami,2021-09-30," Italiano, Inglés, Neerlandés, Griego, Árabe, Español, Francés (Francia), Ruso, Sueco, Turco,Alemán, Portugués (Portugal)",3.76,288378,152840,34605,37489,8651,54791,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
201930,Grand Theft Auto Online (PlayStation®5),2024-05-15 17:40:12.550190,PS5,"Acción, Aventura",Rockstar Games,2022-03-14," Chino (Simplificado), Coreano, Italiano, Inglés, Español (México), Portugués (Brasil), Español, Francés (Francia), Polaco, Chino (Tradicional), Ruso,Alemán",4.52,689134,544415,55130,34456,6891,48239,19.99,19.99,-1.0,-1.0,ESP,2475.0,2475.0,-1.0,-1.0,19.99,19.99,-1.0,-1.0
10007788,Edición Kobe Bryant de NBA 2K24 para PS5™,2024-05-15 17:40:13.881641,PS5,Deporte,2K,2023-09-07," Chino (Simplificado), Coreano, Italiano, Inglés, Español, Francés (Francia), Japonés, Chino (Tradicional),Alemán",3.03,30939,10519,3712,3712,2475,10828,79.99,79.99,0.0,-1.0,ESP,8800.0,8800.0,0.0,-1.0,69.99,69.99,0.0,-1.0
10009581,MotoGP™24 PS4 & PS5,2024-05-15 17:40:15.230575,"PS4, PS5"," Deporte,Conducción/Carreras",MILESTONE SRL,2024-05-01," Chino (Simplificado), Italiano, Inglés, Portugués (Brasil), Español, Francés (Francia), Japonés, Chino (Tradicional), Tailandés,Alemán",4.43,86,65,7,4,2,6,69.99,69.99,-1.0,-1.0,ESP,7700.0,7700.0,-1.0,-1.0,49.99,49.99,-1.0,-1.0
10000896,Genshin Impact,2024-05-15 17:40:16.519061,"PS4, PS5"," Juegos de rol,Acción, Aventura",COGNOSPHERE PTE. LTD.,2021-04-27," Chino (Simplificado), Coreano, Italiano, Inglés, Español, Francés (Francia), Japonés, Chino (Tradicional), Ruso, Tailandés, Vietnamita, Turco,Alemán, Portugués (Portugal)",4.41,335457,251592,30191,16772,3354,30191,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
10004708,TopSpin 2K25 Edición Digital Cross-Gen,2024-05-15 17:40:17.850737,"PS4, PS5",Deporte,2K,2024-04-25," Chino (Simplificado), Coreano, Italiano, Inglés, Español (México), Checo, Español, Francés (Francia), Chino (Tradicional), Japonés,Alemán",3.33,1053,421,157,115,52,305,74.99,74.99,0.5,-1.0,ESP,8800.0,8800.0,0.5,-1.0,69.99,69.99,0.5,-1.0
10008884,Sea of Thieves,2024-05-15 17:40:19.261309,PS5,Aventura,Microsoft Corporation,2024-04-30," Chino (Simplificado), Coreano, Italiano, Inglés, Español (México), Portugués (Brasil), Español, Francés (Francia), Japonés, Chino (Tradicional), Polaco, Ruso, Tailandés, Turco,Alemán",4.51,4671,3783,326,93,46,420,39.99,39.99,-1.0,-1.0,ESP,5390.0,5390.0,-1.0,-1.0,39.99,39.99,-1.0,-1.0
10004865,Assassin's Creed® Mirage,2024-05-15 17:40:21.121425,"PS4, PS5","Acción, Aventura",UBISOFT ENTERTAINMENT SA,2023-10-04," Italiano, Inglés, Portugués (Brasil), Español, Francés (Francia), Polaco,Alemán",4.01,18366,9550,3856,2203,1101,1652,49.99,24.99,-1.0,-1.0,ESP,6600.0,3300.0,-1.0,-1.0,49.99,24.99,-1.0,-1.0
10000657,HELLDIVERS™ 2,2024-05-15 17:40:22.628424,PS5,Acción,Sony Interactive Entertainment Europe,2024-02-08," Italiano, Inglés, Español, Francés (Francia), Polaco, Ruso,Alemán, Portugués (Portugal)",4.48,74160,60069,5191,1483,741,6674,39.99,39.99,-1.0,-1.0,ESP,4480.0,4480.0,-1.0,-1.0,39.99,39.99,-1.0,-1.0
233235,DRAGON BALL Z: KAKAROT PS4™ & PS5™,2024-05-15 17:40:24.183423,"PS4, PS5"," Juegos de rol,Acción, Aventura",BANDAI NAMCO ENTERTAINMENT EUROPE,2023-01-12," Italiano, Inglés, Árabe, Español, Francés (Francia), Polaco, Ruso,Alemán",4.57,43243,34161,4324,2594,432,1729,69.99,13.99,0.0,-1.0,ESP,4400.0,4400.0,0.0,-1.0,59.99,14.99,0.0,-1.0
212779,Minecraft,2024-05-15 17:40:25.718459,PS4,Aventura,Mojang AB,2019-12-09," Chino (Simplificado), Eslovenio, Inglés, Neerlandés, Portugués (Brasil), Polaco, Francés (Canadá),Alemán, Ucraniano, Italiano, Checo, Español, Chino (Tradicional), Finlandés, Húngaro, Coreano, Danés, Griego, Francés (Francia), Sueco, Turco, Noruego, Español (México), Japonés, Ruso, Portugués (Portugal)",4.32,1571845,1131728,141466,110029,15718,172902,0.0,0.0,-1.0,-1.0,ESP,2640.0,2640.0,-1.0,-1.0,19.99,19.99,-1.0,-1.0
201511,Fallout 4,2024-05-15 17:40:27.359423,"PS4, PS5",Juegos de rol,Bethesda,2024-04-25,No hay información,4.61,123349,98679,13568,3700,1233,4933,19.99,19.99,0.0,-1.0,ESP,2200.0,2200.0,0.0,-1.0,19.99,19.99,0.0,-1.0
10005275,Honkai: Star Rail,2024-05-15 17:40:28.129186,PS5,"Aventura, Juegos de rol",COGNOSPHERE PTE. LTD.,2023-10-10," Chino (Simplificado), Coreano, Inglés, Español (México), Portugués (Brasil), Japonés, Francés (Francia), Chino (Tradicional), Ruso,Alemán",4.6,17751,14733,1242,355,177,1065,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
223118,Roblox,2024-05-15 17:40:29.573026,PS4,Únicos,ROBLOX Corporation,2023-10-10," Chino (Simplificado), Coreano, Italiano, Inglés, Portugués (Brasil), Español, Francés (Francia), Japonés, Chino (Tradicional),Alemán",4.22,293235,199399,26391,32255,5864,32255,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
221852,Destiny 2 PS4™ & PS5™,2024-05-15 17:40:30.933097,"PS4, PS5"," Acción,Aventura, Juegos de disparos",Bungie,2020-12-08," Chino (Simplificado), Coreano, Italiano, Inglés, Español (México), Portugués (Brasil), Español, Francés (Francia), Japonés, Chino (Tradicional), Polaco, Ruso,Alemán",4.28,291440,204008,32058,17486,5828,32058,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
200763,Call of Duty®: Black Ops III - Zombies Chronicles Edition,2024-05-15 17:40:32.406083,PS4,"Acción, Juegos de disparos",Activision Blizzard Int'l BV,2017-08-28," Italiano,Español",4.44,363990,276632,36399,18199,7279,29119,69.99,23.09,-1.0,-1.0,ESP,-1.0,-1.0,-1.0,-1.0,59.99,19.79,-1.0,-1.0
10002313,The Crew™ Motorfest Standard Edition - Cross-Gen Bundle,2024-05-15 17:40:33.949664,"PS4, PS5",Conducción/Carreras,UBISOFT ENTERTAINMENT SA,2023-09-14," Italiano, Inglés, Portugués (Brasil), Español, Francés (Francia), Polaco,Alemán",4.25,21658,14727,2598,1299,433,2382,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
10006891,Stellar Blade™,2024-05-15 17:40:35.699316,PS5,"Acción, Aventura",Sony Interactive Entertainment Europe,2024-04-25," Chino (Simplificado), Inglés, Neerlandés, Portugués (Brasil), Polaco,Alemán, Italiano, Árabe, Español, Chino (Tradicional), Tailandés, Finlandés, Coreano, Danés, Francés (Francia), Sueco, Turco, Noruego, Español (México), Japonés, Ruso, Portugués (Portugal)",4.82,36242,33342,1087,362,362,1087,79.99,79.99,-1.0,-1.0,ESP,8980.0,8980.0,-1.0,-1.0,69.99,69.99,-1.0,-1.0
10000333,ELDEN RING PS4 & PS5,2024-05-15 17:40:37.082873,"PS4, PS5",Juegos de rol,BANDAI NAMCO ENTERTAINMENT EUROPE,2022-02-24," Italiano, Inglés, Español, Francés (Francia), Polaco, Ruso,Alemán",4.72,69961,62265,2798,699,699,3498,59.99,59.99,-1.0,-1.0,ESP,9240.0,9240.0,-1.0,-1.0,59.99,59.99,-1.0,-1.0
10000956,Gran Turismo™ 7,2024-05-15 17:40:38.680131,"PS4, PS5",Conducción/Carreras,Polyphony Digital Inc,2022-03-03," Italiano, Inglés, Neerlandés, Griego, Árabe, Checo, Francés (Francia), Español, Japonés, Polaco, Ruso, Turco,Alemán, Portugués (Portugal)",4.36,19896,14126,2586,994,397,1790,79.99,79.99,-1.0,-1.0,ESP,8690.0,8690.0,-1.0,-1.0,69.99,69.99,-1.0,-1.0
232352,Apex Legends™ PS5™,2024-05-15 17:40:40.191220,PS5,"Acción, Juegos de disparos",EA Swiss Sarl,2022-03-28," Chino (Simplificado), Coreano, Italiano, Inglés, Portugués (Brasil), Español, Francés (Francia), Japonés, Chino (Tradicional), Polaco, Ruso,Alemán",4.12,768288,499387,92194,69145,15365,99877,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
209441,Red Dead Redemption 2,2024-05-15 17:40:42.229576,PS4,"Acción, Únicos, Aventura",Rockstar Games,2018-10-25," Chino (Simplificado), Coreano, Italiano, Inglés, Español (México), Portugués (Brasil), Español, Francés (Francia), Polaco, Chino (Tradicional), Ruso,Alemán",4.71,238441,209828,11922,4768,2384,9537,59.99,59.99,-1.0,-1.0,ESP,6555.0,6555.0,-1.0,-1.0,59.99,59.99,-1.0,-1.0
228857,Los Sims™ 4,2024-05-15 17:40:43.769541,PS4,"Acción, Simulación",EA Swiss Sarl,2017-11-16," Italiano, Inglés, Noruego, Neerlandés, Danés, Español, Francés (Francia), Polaco, Ruso, Sueco, Finlandés,Alemán",3.98,90540,53418,11770,8148,2716,14486,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
10007978,Edición Digital WWE 2K24 Cross-Gen,2024-05-15 17:40:45.210980,"PS4, PS5",Deporte,2K,2024-03-07," Italiano, Inglés, Árabe, Español, Francés (Francia),Alemán",4.52,4201,3276,420,168,84,252,74.99,74.99,-1.0,-1.0,ESP,8800.0,8800.0,-1.0,-1.0,69.99,69.99,-1.0,-1.0
10002456,Marvel’s Spider-Man 2,2024-05-15 17:40:47.259955,PS5,Acción,Sony Interactive Entertainment Europe,2023-10-19," Italiano, Inglés, Noruego, Neerlandés, Danés, Griego, Árabe, Checo, Español, Francés (Francia), Polaco, Ruso, Sueco, Finlandés, Húngaro,Alemán, Portugués (Portugal)",4.86,119036,109513,5951,2380,1190,1190,79.99,79.99,0.5,-1.0,ESP,8980.0,8980.0,0.5,-1.0,69.99,69.99,0.5,-1.0
203715,Rocket League®,2024-05-15 17:40:48.567769,PS4," Acción,Deporte, Conducción/Carreras",Psyonix,2015-07-06," Coreano, Italiano, Inglés, Neerlandés, Español, Francés (Francia), Japonés, Polaco, Ruso, Turco,Alemán, Portugués (Portugal)",4.36,1115627,792095,133875,89250,11156,89250,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
10007588,Stumble Guys,2024-05-15 17:40:49.947574,PS5,"Acción, Grupo","Scopely, Inc.",2024-04-09," Coreano, Italiano, Inglés, Neerlandés, Portugués (Brasil), Español, Francés (Francia), Japonés, Polaco, Ruso, Tailandés, Vietnamita, Malayo, Turco,Alemán, Portugués (Portugal)",4.35,31794,21619,3815,3815,317,1907,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
10004473,Resident Evil 4 PS4 & PS5,2024-05-15 17:40:51.382596,"PS4, PS5","Acción, Aventura, Terror",CE EUROPE LIMITED,2023-03-23," Chino (Simplificado), Coreano, Italiano, Inglés, Español (México), Portugués (Brasil), Árabe, Español, Francés (Francia), Japonés, Chino (Tradicional), Ruso,Alemán",4.79,57453,51133,3447,2298,0,1149,39.99,39.99,-1.0,-1.0,ESP,4990.0,4990.0,-1.0,-1.0,39.99,39.99,-1.0,-1.0
10000237,Assassin's Creed Valhalla PS4 & PS5,2024-05-15 17:40:52.908273,"PS4, PS5",Juegos de rol,UBISOFT ENTERTAINMENT SA,2020-11-11,No hay información,4.16,51474,33458,6691,3603,2058,5662,69.99,69.99,0.0,0.0,ESP,9240.0,9240.0,0.0,0.0,59.99,59.99,0.0,0.0
205366,War Thunder,2024-05-15 17:40:54.621446,PS5," Acción, Únicos,Simulación",Gaijin Distribution KFT,2020-11-16," Ucraniano, Italiano, Inglés, Checo, Francés (Francia), Español, Polaco, Ruso,Alemán, Portugués (Portugal)",4.16,344754,213747,51713,37922,10342,34475,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
10008874,F1® 24 Champions Edition,2024-05-15 17:40:55.450170,"PS4, PS5",Conducción/Carreras,EA Swiss Sarl,2024-05-28,No hay información,0.0,0,0,0,0,0,0,99.99,99.99,-1.0,89.99,ESP,12980.0,12980.0,-1.0,11682.0,89.99,89.99,-1.0,80.99
10002788,UFC™ 5,2024-05-15 17:41:03.056072,PS5,Lucha,EA Swiss Sarl,2023-10-26," Chino (Simplificado), Coreano, Italiano, Inglés, Español (México), Portugués (Brasil), Español, Francés (Francia), Japonés, Chino (Tradicional),Alemán",3.0,7685,2382,1152,922,691,2612,79.99,79.99,-1.0,0.5,ESP,9700.0,9700.0,-1.0,0.5,69.99,69.99,-1.0,0.5
231761,Diablo® IV - Standard Edition,2024-05-15 17:41:04.520699,"PS4, PS5",Únicos,"Blizzard Entertainment, Inc.",2023-06-05,No hay información,4.14,7378,5017,664,442,147,1106,79.99,79.99,-1.0,-1.0,ESP,9800.0,9800.0,-1.0,-1.0,69.99,69.99,-1.0,-1.0
201061,Dead Island 2,2024-05-15 17:41:06.071618,"PS4, PS5"," Acción,Acción",Deep Silver,2023-04-20," Chino (Simplificado), Coreano, Italiano, Inglés, Español (México), Portugués (Brasil), Checo, Español, Francés (Francia), Chino (Tradicional), Japonés, Polaco, Ruso,Alemán",4.39,7876,5276,1496,472,236,472,69.99,69.99,0.5,-1.0,ESP,-1.0,-1.0,-1.0,-1.0,69.99,69.99,0.5,-1.0
203897,Tom Clancy's Rainbow Six® Siege - Deluxe Edition,2024-05-15 17:41:07.715207,"PS4, PS5","Acción, Juegos de disparos",UBISOFT ENTERTAINMENT SA,2024-03-12,No hay información,4.33,261122,190619,26112,13056,5222,28723,29.99,29.99,-1.0,-1.0,ESP,3960.0,3960.0,-1.0,-1.0,39.99,39.99,-1.0,-1.0
233407,Call of Duty®: Black Ops Cold War - Lote Multigeneracional PS4™ & PS5®,2024-05-15 17:41:09.329388,"PS4, PS5",Juegos de disparos,Activision Blizzard Int'l BV,2020-11-12," Italiano, Inglés, Español, Francés (Francia), Polaco, Ruso,Alemán",4.19,213814,143255,21381,19243,4276,25657,74.99,26.24,-1.0,-1.0,ESP,9680.0,9680.0,-1.0,-1.0,69.99,24.49,-1.0,-1.0
10008685,Hi-Fi RUSH,2024-05-15 17:41:10.888654,PS5,Acción,Bethesda,2024-03-19," Chino (Simplificado), Coreano, Italiano, Inglés, Español (México), Portugués (Brasil), Árabe, Español, Francés (Francia), Japonés, Chino (Tradicional), Polaco, Ruso,Alemán",4.85,2557,2352,127,25,25,25,29.99,29.99,-1.0,-1.0,ESP,4180.0,4180.0,-1.0,-1.0,29.99,29.99,-1.0,-1.0
10007460,Baldur's Gate 3,2024-05-15 17:41:12.253773,PS5,Juegos de rol,Larian Studios Games Ltd,2023-09-06," Chino (Simplificado), Ucraniano, Italiano, Inglés, Español (México), Portugués (Brasil), Español, Francés (Francia), Japonés, Chino (Tradicional), Polaco, Ruso, Turco,Alemán",4.81,47684,43869,1430,476,476,1430,69.99,69.99,0.5,-1.0,ESP,8580.0,8580.0,0.5,-1.0,69.99,69.99,0.5,-1.0
10008286,ARK: Survival Ascended,2024-05-15 17:41:13.598827,PS5,"Aventura, Juegos de rol",WILDCARD PROPERTIES,2023-11-30," Chino (Simplificado), Italiano, Inglés, Neerlandés, Danés, Portugués (Brasil), Español, Francés (Francia), Japonés, Ruso, Turco,Alemán",4.02,9160,5954,916,458,366,1557,44.99,44.99,-1.0,-1.0,ESP,6380.0,6380.0,-1.0,-1.0,44.99,44.99,-1.0,-1.0
217012,DRAGON BALL XENOVERSE 2,2024-05-15 17:41:15.085911,PS4," Lucha,Acción, Casual",BANDAI NAMCO ENTERTAINMENT EUROPE,2016-10-26," Italiano, Inglés, Español, Francés (Francia), Polaco, Ruso,Alemán",3.84,218358,131014,21835,15285,4367,48038,19.99,9.99,0.0,-1.0,ESP,2970.0,2970.0,0.0,-1.0,19.99,9.99,0.0,-1.0
225700,SKULL AND BONES™,2024-05-15 17:41:16.644248,PS5,"Acción, Aventura",UBISOFT ENTERTAINMENT SA,2024-02-15," Italiano, Inglés, Portugués (Brasil), Español, Francés (Francia), Polaco,Alemán",3.01,11888,3923,1426,1188,1307,3923,0.0,0.0,-1.0,-1.0,ESP,9240.0,9240.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
233072,Rust Console Edition,2024-05-15 17:41:18.114892,PS4,"Acción, Juegos de disparos, Aventura",Double Eleven Limited,2021-05-20," Chino (Simplificado), Coreano, Italiano, Inglés, Neerlandés, Portugués (Brasil), Español, Francés (Francia), Japonés, Chino (Tradicional), Polaco, Ruso, Sueco,Alemán",3.66,20168,11697,1613,1008,806,5243,49.99,49.99,-1.0,-1.0,ESP,6050.0,6050.0,-1.0,-1.0,49.99,49.99,-1.0,-1.0
227319,Dead by Daylight PS4® & PS5®,2024-05-15 17:41:19.758160,"PS4, PS5"," Acción,Terror, Terror",STARBREEZE PUBLISHING AB,2020-11-11,No hay información,4.19,104000,69680,13520,5200,2080,13520,29.99,29.99,0.0,-1.0,ESP,3080.0,3080.0,0.0,-1.0,29.99,29.99,0.0,-1.0
10005844,Dragon's Dogma 2,2024-05-15 17:41:21.423164,PS5,"Acción, Juegos de rol",CE EUROPE LIMITED,2024-03-21," Italiano, Inglés, Español (México), Portugués (Brasil), Árabe, Español, Francés (Francia), Japonés, Ruso,Alemán",4.1,20683,13443,2275,1240,827,2688,74.99,74.99,-1.0,-1.0,ESP,8990.0,8990.0,-1.0,-1.0,69.99,69.99,-1.0,-1.0
205342,Warframe®,2024-05-15 17:41:23.332226,PS5,"Acción, Juegos de disparos, Únicos",Digital Extremes,2020-11-26," Italiano, Inglés, Español, Francés (Francia), Polaco, Ruso, Turco,Alemán",4.34,667366,447135,100104,60062,13347,46715,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
232248,Fallout 76,2024-05-15 17:41:26.142632,PS4,Juegos de rol,Bethesda,2018-11-13," Italiano, Inglés, Español, Francés (Francia), Polaco, Ruso,Alemán",3.6,49476,25232,5937,3463,2968,11379,39.99,39.99,0.0,-1.0,ESP,4888.0,4888.0,0.0,-1.0,39.99,39.99,0.0,-1.0
231756,Mortal Kombat 11,2024-05-15 17:41:27.716462,"PS4, PS5",Lucha,WARNER BROS. INTERACTIVE,2020-11-17," Italiano, Inglés, Español, Francés (Francia), Polaco, Ruso,Alemán",4.5,72344,56428,6510,4340,723,4340,49.99,49.99,0.0,-1.0,ESP,-1.0,-1.0,-1.0,-1.0,49.99,49.99,0.0,-1.0
10008114,Train Sim World® 4: Standard Edition PS4 & PS5,2024-05-15 17:41:29.629316,"PS4, PS5",Simulación,Dovetail Games,2023-09-26," Chino (Simplificado), Italiano, Inglés, Español, Francés (Francia), Polaco, Ruso,Alemán",4.42,986,680,167,69,29,49,34.99,34.99,-1.0,-1.0,ESP,5500.0,5500.0,-1.0,-1.0,39.99,39.99,-1.0,-1.0
230079,The Last of Us™ Parte II Remastered,2024-05-15 17:41:30.796278,PS5,"Acción, Aventura",Sony Interactive Entertainment Europe,2024-01-18," Italiano, Inglés, Noruego, Neerlandés, Danés, Griego, Checo, Español, Francés (Francia), Polaco, Ruso, Croata, Sueco, Finlandés, Húngaro, Turco,Alemán, Portugués (Portugal)",4.44,176125,140900,8806,5283,3522,15851,49.99,49.99,0.5,-1.0,ESP,5480.0,5480.0,0.5,-1.0,49.99,49.99,0.5,-1.0
229433,Call of Duty®: Modern Warfare® 2 Campaign Remastered,2024-05-15 17:41:32.178806,PS4,Juegos de disparos,Activision Blizzard Int'l BV,2020-03-30," Italiano, Inglés, Español, Francés (Francia), Polaco,Alemán",4.51,25715,19800,2571,1542,257,1542,24.99,12.49,-1.0,-1.0,ESP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10004462,Like a Dragon: Infinite Wealth PS4 & PS5,2024-05-15 17:41:33.754044,"PS4, PS5",Juegos de rol,SEGA EUROPE LTD,2024-01-25," Chino (Simplificado), Coreano, Italiano, Inglés, Portugués (Brasil), Español, Francés (Francia), Japonés, Chino (Tradicional), Ruso,Alemán",4.83,5276,4801,263,105,52,105,69.99,48.99,-1.0,-1.0,ESP,9680.0,9680.0,-1.0,-1.0,69.99,48.99,-1.0,-1.0
