id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original_es,Oferta_es,Oferta PSPlus_es,Otra promo diferente a PSPLUS_es,País Store,Precio original_jp,Oferta_jp,Oferta PSPlus_jp,Otra promo diferente a PSPLUS_jp,Precio original_us,Oferta_us,Oferta PSPlus_us,Otra promo diferente a PSPLUS_us
10007176,EA SPORTS FC™ 24 Standard Edition para PS4 y PS5,2024-05-13 09:49:59.390842,"PS4, PS5",Deporte,EA Swiss Sarl,2023-09-28,No hay información,3.32,76035,32695,8363,7603,4562,22810,79.99,79.99,0.0,-1.0,ESP,9700.0,9700.0,0.0,-1.0,69.99,69.99,0.0,-1.0
228748,Fortnite,2024-05-13 09:50:00.805849,PS5,"Acción, Aventura",EPIC GAMES,2017-07-21," Italiano, Ruso, Español (México), Coreano, Inglés, Portugués (Brasil), Polaco, Árabe, Turco, Español, Japonés,Alemán, Francés (Francia)",4.32,6837359,4854524,683735,546988,68373,683735,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
10001130,Call of Duty®: Modern Warfare® III - Lote Multigeneración,2024-05-13 09:50:02.207695,"PS4, PS5",Acción,Activision Blizzard Int'l BV,2023-11-02," Italiano, Ruso, Inglés, Polaco, Español,Alemán, Francés (Francia)",4.04,325153,198343,35766,39018,6503,45521,79.99,79.99,-1.0,-1.0,ESP,9800.0,9800.0,-1.0,-1.0,69.99,69.99,-1.0,-1.0
10002427,eFootball™ 2024,2024-05-13 09:50:03.549258,PS5,Deporte,Konami,2021-09-30," Sueco, Italiano, Ruso, Inglés, Árabe, Griego, Turco, Español, Neerlandés,Alemán, Portugués (Portugal), Francés (Francia)",3.76,287783,152524,34533,37411,8633,54678,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
10007788,Edición Kobe Bryant de NBA 2K24 para PS5™,2024-05-13 09:50:04.986839,PS5,Deporte,2K,2023-09-07," Italiano, Chino (Tradicional), Chino (Simplificado), Coreano, Inglés, Español, Japonés,Alemán, Francés (Francia)",3.03,30711,10441,3685,3685,2456,10748,79.99,79.99,0.0,-1.0,ESP,8800.0,8800.0,0.0,-1.0,69.99,69.99,0.0,-1.0
201930,Grand Theft Auto Online (PlayStation®5),2024-05-13 09:50:07.780781,PS5,"Acción, Aventura",Rockstar Games,2022-03-14," Italiano, Ruso, Chino (Tradicional), Español (México), Chino (Simplificado), Coreano, Inglés, Portugués (Brasil), Polaco, Español,Alemán, Francés (Francia)",4.52,688816,544164,55105,34440,6888,48217,19.99,19.99,-1.0,-1.0,ESP,-1.0,-1.0,-1.0,-1.0,19.99,19.99,-1.0,-1.0
10004708,TopSpin 2K25 Edición Digital Cross-Gen,2024-05-13 09:50:09.223759,"PS4, PS5",Deporte,2K,2024-04-25," Italiano, Checo, Chino (Tradicional), Español (México), Chino (Simplificado), Coreano, Inglés, Español, Japonés,Alemán, Francés (Francia)",3.33,1023,419,153,102,51,296,74.99,74.99,0.5,-1.0,ESP,8800.0,8800.0,0.5,-1.0,69.99,69.99,0.5,-1.0
10009581,MotoGP™24 PS4 & PS5,2024-05-13 09:50:10.564785,"PS4, PS5","Conducción/Carreras, Deporte",MILESTONE SRL,2024-05-01," Italiano, Chino (Tradicional), Chino (Simplificado), Portugués (Brasil), Inglés, Español, Tailandés, Japonés,Alemán, Francés (Francia)",4.4,80,60,7,4,3,6,69.99,69.99,-1.0,-1.0,ESP,7700.0,7700.0,-1.0,-1.0,49.99,49.99,-1.0,-1.0
10008884,Sea of Thieves,2024-05-13 09:50:11.778398,PS5,Aventura,Microsoft Corporation,2024-04-30," Italiano, Ruso, Chino (Tradicional), Español (México), Chino (Simplificado), Coreano, Inglés, Portugués (Brasil), Polaco, Turco, Español, Tailandés, Japonés,Alemán, Francés (Francia)",4.5,4421,3581,265,88,44,397,39.99,39.99,-1.0,-1.0,ESP,5390.0,5390.0,-1.0,-1.0,39.99,39.99,-1.0,-1.0
10000896,Genshin Impact,2024-05-13 09:50:13.039852,"PS4, PS5"," Juegos de rol,Acción, Aventura",COGNOSPHERE PTE. LTD.,2021-04-27," Italiano, Ruso, Chino (Tradicional), Chino (Simplificado), Coreano, Inglés, Turco, Español, Tailandés, Japonés, Vietnamita,Alemán, Portugués (Portugal), Francés (Francia)",4.41,335002,251251,30150,16750,3350,30150,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
