id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original_es,Oferta_es,Oferta PSPlus_es,Otra promo diferente a PSPLUS_es,País Store,Precio original_jp,Oferta_jp,Oferta PSPlus_jp,Otra promo diferente a PSPLUS_jp,Precio original_us,Oferta_us,Oferta PSPlus_us,Otra promo diferente a PSPLUS_us
10007176,EA SPORTS FC™ 24 Standard Edition para PS4 y PS5,2024-04-17 09:27:39.276027,"PS4, PS5",Deporte,EA Swiss Sarl,2023-09-28,No hay información,3.39,65654,29544,7878,6565,3939,18383,79.99,79.99,-1.0,0.5,ESP,9700.0,9700.0,-1.0,0.5,69.99,69.99,-1.0,0.5
228748,Fortnite,2024-04-17 09:27:40.829628,PS5," Aventura,Acción",EPIC GAMES,2017-07-21," Turco, Ruso, Inglés, Coreano, Portugués (Brasil), Español,Alemán, Japonés, Francés (Francia), Árabe, Polaco, Español (México), Italiano",4.32,6790127,4820990,679012,543210,67901,679012,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
10001130,Call of Duty®: Modern Warfare® III - Lote Multigeneración,2024-04-17 09:27:42.980650,"PS4, PS5",Acción,Activision Blizzard Int'l BV,2023-11-02," Ruso, Inglés, Español,Alemán, Francés (Francia), Polaco, Italiano",4.04,313002,190931,34430,37560,6260,43820,79.99,79.99,-1.0,-1.0,ESP,9800.0,9800.0,-1.0,-1.0,69.99,69.99,-1.0,-1.0
10007788,Edición Kobe Bryant de NBA 2K24 para PS5™,2024-04-17 09:27:44.748873,PS5,Deporte,2K,2023-09-07," Chino (Tradicional), Chino (Simplificado), Inglés, Coreano, Español,Alemán, Japonés, Francés (Francia), Italiano",3.07,27455,9609,3294,3294,2196,9334,79.99,79.99,0.0,-1.0,ESP,8800.0,8800.0,0.0,-1.0,69.99,69.99,0.0,-1.0
10002427,eFootball™ 2024,2024-04-17 09:27:46.494708,PS5,Deporte,Konami,2021-09-30," Griego, Neerlandés, Ruso, Sueco, Turco, Inglés, Español,Alemán, Francés (Francia), Portugués (Portugal), Árabe, Italiano",3.76,279433,148099,33531,36326,8382,55886,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
201930,Grand Theft Auto Online (PlayStation®5),2024-04-17 09:27:48.216774,PS5," Aventura,Acción",Rockstar Games,2022-03-14," Ruso, Chino (Tradicional), Chino (Simplificado), Inglés, Coreano, Portugués (Brasil), Español,Alemán, Francés (Francia), Polaco, Español (México), Italiano",4.52,684693,540907,54775,34234,6846,47928,19.99,9.99,-1.0,-1.0,ESP,2475.0,1237.0,-1.0,-1.0,19.99,9.99,-1.0,-1.0
10000657,HELLDIVERS™ 2,2024-04-17 09:27:49.195015,PS5,Acción,Sony Interactive Entertainment Europe,2024-02-08," Ruso, Inglés, Español,Alemán, Francés (Francia), Portugués (Portugal), Polaco, Italiano",4.54,63037,51690,4412,1260,630,5042,39.99,39.99,-1.0,-1.0,ESP,4480.0,4480.0,-1.0,-1.0,39.99,39.99,-1.0,-1.0
10007978,Edición Digital WWE 2K24 Cross-Gen,2024-04-17 09:27:51.068704,"PS4, PS5",Deporte,2K,2024-03-07," Inglés, Español,Alemán, Francés (Francia), Árabe, Italiano",4.59,3259,2639,293,97,65,162,74.99,63.74,-1.0,-1.0,ESP,8800.0,7480.0,-1.0,-1.0,69.99,59.49,-1.0,-1.0
201511,Fallout 4,2024-04-17 09:27:53.935240,PS4,Juegos de rol,Bethesda,2015-11-09," Inglés, Español,Alemán, Francés (Francia), Italiano",4.64,110796,89744,12187,3323,1107,4431,19.99,19.99,0.0,-1.0,ESP,2200.0,550.0,0.0,-1.0,19.99,4.99,0.0,-1.0
10008884,Sea of Thieves,2024-04-17 09:27:55.513448,PS5,Aventura,Microsoft Corporation,2024-04-30,No hay información,0.0,0,0,0,0,0,0,39.99,39.99,-1.0,-1.0,ESP,4290.0,4290.0,-1.0,-1.0,39.99,39.99,-1.0,-1.0
