id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN,País Store
10007176,EA SPORTS FC™ 24 Standard Edition para PS4 y PS5,2024-03-24 23:13:31.488655,"PS4, PS5",Deporte,EA Swiss Sarl,2023-09-28,No hay información,3.41,60468,27210,7256,6046,3628,16931,79.99,15.99,79.99,15.99,ESP
10005844,Dragon's Dogma 2,2024-03-24 23:13:33.088713,PS5," Juegos de rol,Acción",CE EUROPE LIMITED,2024-03-21," Español, Japonés, Italiano, Ruso, Árabe, Francés (Francia), Portugués (Brasil), Español (México),Alemán, Inglés",4.18,8043,5790,563,321,241,1206,74.99,74.99,74.99,74.99,ESP
228748,Fortnite,2024-03-24 23:13:34.580982,PS5," Aventura,Acción",EPIC GAMES,2017-07-21," Español, Japonés, Italiano, Coreano, Ruso, Árabe, Polaco, Francés (Francia), Portugués (Brasil), Turco, Español (México),Alemán, Inglés",4.32,6739323,4784919,673932,539145,67393,673932,0.0,0.0,0.0,0.0,ESP
10003386,Rise of the Ronin™,2024-03-24 23:13:36.207819,PS5," Aventura,Acción",Sony Interactive Entertainment Europe,2024-03-21," Español, Noruego, Japonés, Italiano, Neerlandés, Ruso, Portugués (Portugal), Sueco, Polaco, Danés, Francés (Francia), Turco, Finlandés,Alemán, Inglés",4.3,3271,2256,457,130,98,294,79.99,79.99,79.99,79.99,ESP
10000657,HELLDIVERS™ 2,2024-03-24 23:13:37.581492,PS5,Acción,Sony Interactive Entertainment Europe,2024-02-08," Español, Italiano, Ruso, Portugués (Portugal), Francés (Francia), Polaco,Alemán, Inglés",4.49,50340,40775,3523,1006,1006,4530,39.99,39.99,39.99,39.99,ESP
10007788,Edición Kobe Bryant de NBA 2K24 para PS5™,2024-03-24 23:13:42.650978,PS5,Deporte,2K,2023-09-07," Español, Japonés, Italiano, Coreano, Chino (Simplificado), Francés (Francia), Chino (Tradicional),Alemán, Inglés",3.12,21871,7873,2843,2624,1749,6998,79.99,0.0,79.99,0.0,ESP
10001130,Call of Duty®: Modern Warfare® III - Lote Multigeneración,2024-03-24 23:13:45.665823,"PS4, PS5",Acción,Activision Blizzard Int'l BV,2023-11-02," Español, Italiano, Ruso, Francés (Francia), Polaco,Alemán, Inglés",4.04,297950,184729,32774,32774,5959,41713,79.99,79.99,79.99,79.99,ESP
201930,Grand Theft Auto Online (PlayStation®5),2024-03-24 23:13:49.272942,PS5," Aventura,Acción",Rockstar Games,2022-03-14," Español, Italiano, Coreano, Chino (Simplificado), Ruso, Polaco, Francés (Francia), Portugués (Brasil), Chino (Tradicional),Alemán, Inglés, Español (México)",4.52,680085,537267,54406,34004,6800,47605,19.99,19.99,19.99,19.99,ESP
10002427,eFootball™ 2024,2024-03-24 23:13:53.042290,PS5,Deporte,Konami,2021-09-30," Español, Italiano, Neerlandés, Ruso, Portugués (Portugal), Sueco, Árabe, Francés (Francia), Turco,Alemán, Inglés, Griego",3.75,272561,144457,32707,32707,8176,54512,19.99,12.99,19.99,12.99,ESP
10007978,Edición Digital WWE 2K24 Cross-Gen,2024-03-24 23:13:57.888911,"PS4, PS5",Deporte,2K,2024-03-07," Español, Italiano, Árabe, Francés (Francia),Alemán, Inglés",4.63,2167,1798,173,65,21,108,74.99,74.99,74.99,74.99,ESP
203897,Tom Clancy's Rainbow Six® Siege - Deluxe Edition,2024-03-24 23:14:02.659636,"PS4, PS5"," Juegos de disparos,Acción",UBISOFT ENTERTAINMENT SA,2024-03-12,No hay información,4.34,259603,189510,25960,12980,5192,28556,29.99,5.99,29.99,5.99,ESP
209441,Red Dead Redemption 2,2024-03-24 23:14:06.267411,PS4," Únicos, Aventura,Acción",Rockstar Games,2018-10-25," Español, Italiano, Coreano, Chino (Simplificado), Ruso, Polaco, Francés (Francia), Portugués (Brasil), Chino (Tradicional),Alemán, Inglés, Español (México)",4.71,230181,202559,11509,4603,2301,9207,59.99,19.79,59.99,19.79,ESP
10002313,The Crew™ Motorfest Standard Edition - Cross-Gen Bundle,2024-03-24 23:14:11.140592,"PS4, PS5",Conducción/Carreras,UBISOFT ENTERTAINMENT SA,2023-09-14," Español, Italiano, Francés (Francia), Portugués (Brasil), Polaco,Alemán, Inglés",4.28,17723,12228,2303,1063,354,1772,79.99,39.99,79.99,39.99,ESP
10003999,FINAL FANTASY VII REBIRTH,2024-03-24 23:14:16.213252,PS5,Juegos de rol,Square Enix LTD,2024-02-28," Español, Japonés, Italiano, Francés (Francia), Portugués (Brasil), Español (México),Alemán, Inglés",4.76,24328,22138,486,486,243,729,79.99,79.99,79.99,79.99,ESP
10000896,Genshin Impact,2024-03-24 23:14:21.679117,"PS4, PS5"," Aventura, Juegos de rol,Acción",COGNOSPHERE PTE. LTD.,2021-04-27," Español, Japonés, Italiano, Coreano, Chino (Simplificado), Portugués (Portugal), Ruso, Tailandés, Vietnamita, Francés (Francia), Turco, Chino (Tradicional),Alemán, Inglés",4.42,326327,248008,29369,16316,3263,29369,0.0,0.0,0.0,0.0,ESP
212779,Minecraft,2024-03-24 23:14:26.128290,PS4,Aventura,Mojang AB,2019-12-09," Ucraniano, Japonés, Italiano, Checo, Neerlandés, Húngaro, Polaco, Francés (Canadá), Francés (Francia), Español (México), Finlandés, Noruego, Ruso, Eslovenio, Sueco,Alemán, Turco, Griego, Español, Coreano, Chino (Simplificado), Portugués (Portugal), Danés, Portugués (Brasil), Chino (Tradicional), Inglés",4.32,1560720,1123718,140464,109250,15607,156072,0.0,0.0,0.0,0.0,ESP
223118,Roblox,2024-03-24 23:14:29.651899,PS4,Únicos,ROBLOX Corporation,2023-10-10," Español, Japonés, Italiano, Coreano, Chino (Simplificado), Francés (Francia), Portugués (Brasil), Chino (Tradicional),Alemán, Inglés",4.24,260989,177472,23489,28708,2609,26098,0.0,0.0,0.0,0.0,ESP
10000333,ELDEN RING PS4 & PS5,2024-03-24 23:14:33.330227,"PS4, PS5",Juegos de rol,BANDAI NAMCO ENTERTAINMENT EUROPE,2022-02-24," Español, Italiano, Ruso, Francés (Francia), Polaco,Alemán, Inglés",4.72,64621,57512,2584,646,646,3231,59.99,59.99,59.99,59.99,ESP
203715,Rocket League®,2024-03-24 23:14:38.827806,PS4," Acción, Conducción/Carreras,Deporte",Psyonix,2015-07-06," Español, Japonés, Italiano, Neerlandés, Coreano, Ruso, Portugués (Portugal), Francés (Francia), Turco, Polaco,Alemán, Inglés",4.37,1099147,780394,131897,87931,10991,87931,0.0,0.0,0.0,0.0,ESP
10002788,UFC™ 5,2024-03-24 23:14:42.038125,PS5,Lucha,EA Swiss Sarl,2023-10-26," Español, Japonés, Italiano, Coreano, Chino (Simplificado), Francés (Francia), Portugués (Brasil), Chino (Tradicional),Alemán, Inglés, Español (México)",3.01,6544,1963,1047,785,588,2224,79.99,47.99,79.99,47.99,ESP
10007460,Baldur's Gate 3,2024-03-24 23:14:45.085496,PS5,Juegos de rol,Larian Studios Games Ltd,2023-09-06," Español, Ucraniano, Japonés, Italiano, Chino (Simplificado), Ruso, Polaco, Francés (Francia), Portugués (Brasil), Turco, Chino (Tradicional),Alemán, Inglés, Español (México)",4.82,43342,39874,1300,433,433,1300,69.99,62.99,69.99,62.99,ESP
10008651,MLB® The Show™ 24 PS5®,2024-03-24 23:14:49.912954,"PS4, PS5",Deporte,Sony Interactive Entertainment,2024-03-19,Inglés,4.27,411,300,28,20,8,49,69.99,69.99,69.99,69.99,ESP
232447,Versión de Hogwarts Legacy para PS5,2024-03-24 23:14:53.202792,PS5,Únicos,WARNER BROS. INTERACTIVE,2023-02-09," Español, Italiano, Ruso, Árabe, Francés (Francia), Polaco,Alemán, Inglés",4.5,32524,23417,5203,1951,650,1300,74.99,74.99,74.99,74.99,ESP
10000956,Gran Turismo™ 7,2024-03-24 23:14:56.923204,"PS4, PS5",Conducción/Carreras,Polyphony Digital Inc,2022-03-03," Español, Japonés, Italiano, Checo, Neerlandés, Ruso, Portugués (Portugal), Árabe, Francés (Francia), Turco, Polaco,Alemán, Inglés, Griego",4.35,17889,12701,2325,894,357,1610,79.99,79.99,79.99,79.99,ESP
10002456,Marvel’s Spider-Man 2,2024-03-24 23:15:01.254118,PS5,Acción,Sony Interactive Entertainment Europe,2023-10-19," Español, Noruego, Italiano, Checo, Neerlandés, Húngaro, Ruso, Portugués (Portugal), Sueco, Árabe, Polaco, Danés, Francés (Francia), Finlandés,Alemán, Inglés, Griego",4.87,111509,103703,4460,1115,1115,1115,79.99,79.99,79.99,79.99,ESP
233235,DRAGON BALL Z: KAKAROT PS4™ & PS5™,2024-03-24 23:15:05.570399,"PS4, PS5"," Aventura, Juegos de rol,Acción",BANDAI NAMCO ENTERTAINMENT EUROPE,2023-01-12," Español, Italiano, Ruso, Árabe, Francés (Francia), Polaco,Alemán, Inglés",4.58,40077,31660,4007,2404,400,1603,69.99,0.0,69.99,0.0,ESP
10004865,Assassin's Creed® Mirage,2024-03-24 23:15:08.846276,"PS4, PS5"," Aventura,Acción",UBISOFT ENTERTAINMENT SA,2023-10-04," Español, Italiano, Francés (Francia), Portugués (Brasil), Polaco,Alemán, Inglés",3.98,14867,7433,3270,1784,1040,1338,49.99,29.99,49.99,29.99,ESP
227319,Dead by Daylight PS4® & PS5®,2024-03-24 23:15:14.134358,"PS4, PS5"," Acción,Terror, Terror",STARBREEZE PUBLISHING AB,2020-11-11,No hay información,4.19,102564,68717,13333,5128,2051,13333,29.99,14.99,29.99,0.0,ESP
10005283,Alone in the Dark,2024-03-24 23:15:19.144713,PS5," Puzzle, Terror,Aventura",THQ NORDIC GMBH,2024-03-20," Español, Japonés, Italiano, Coreano, Chino (Simplificado), Ruso, Árabe, Polaco, Hindi, Francés (Francia), Portugués (Brasil), Chino (Tradicional),Alemán, Inglés",4.21,658,407,118,46,32,52,59.99,59.99,59.99,59.99,ESP
10000237,Assassin's Creed Valhalla PS4 & PS5,2024-03-24 23:15:23.005713,"PS4, PS5",Juegos de rol,UBISOFT ENTERTAINMENT SA,2020-11-11,No hay información,4.17,48789,32200,6342,3415,1951,5366,69.99,17.49,69.99,0.0,ESP
228857,Los Sims™ 4,2024-03-24 23:15:27.026642,PS4," Simulación,Acción",EA Swiss Sarl,2017-11-16," Español, Noruego, Italiano, Neerlandés, Ruso, Sueco, Polaco, Danés, Francés (Francia), Finlandés,Alemán, Inglés",3.98,88001,52800,11440,7920,2640,14080,0.0,0.0,0.0,0.0,ESP
221852,Destiny 2 PS4™ & PS5™,2024-03-24 23:15:30.862524,"PS4, PS5"," Acción,Aventura, Juegos de disparos",Bungie,2020-12-08," Español, Japonés, Italiano, Coreano, Chino (Simplificado), Ruso, Polaco, Francés (Francia), Portugués (Brasil), Chino (Tradicional),Alemán, Inglés, Español (México)",4.28,288265,201785,31709,17295,5765,28826,0.0,0.0,0.0,0.0,ESP
232352,Apex Legends™ PS5™,2024-03-24 23:15:34.687748,PS5," Juegos de disparos,Acción",EA Swiss Sarl,2022-03-28," Español, Japonés, Italiano, Coreano, Chino (Simplificado), Ruso, Polaco, Francés (Francia), Portugués (Brasil), Chino (Tradicional),Alemán, Inglés",4.13,760332,494215,91239,60826,15206,98843,0.0,0.0,0.0,0.0,ESP
10008685,Hi-Fi RUSH,2024-03-24 23:15:37.915875,PS5,Acción,Bethesda,2024-03-19," Español, Japonés, Italiano, Coreano, Chino (Simplificado), Ruso, Árabe, Polaco, Francés (Francia), Portugués (Brasil), Chino (Tradicional),Alemán, Inglés, Español (México)",4.91,1050,997,31,10,10,0,29.99,29.99,29.99,29.99,ESP
235179,Avatar: Frontiers of Pandora™,2024-03-24 23:15:41.712891,PS5,Únicos,UBISOFT ENTERTAINMENT SA,2023-12-06," Español, Italiano, Francés (Francia), Portugués (Brasil), Polaco,Alemán, Inglés",3.96,5573,3120,835,501,334,724,79.99,47.99,79.99,47.99,ESP
10005985,Prince of Persia The Lost Crown,2024-03-24 23:15:46.177281,"PS4, PS5",Acción,UBISOFT ENTERTAINMENT SA,2024-01-17," Español, Japonés, Italiano, Coreano, Chino (Simplificado), Ruso, Árabe, Polaco, Francés (Francia), Portugués (Brasil), Chino (Tradicional),Alemán, Inglés",4.46,3769,2789,452,226,75,226,49.99,29.99,49.99,29.99,ESP
200763,Call of Duty®: Black Ops III - Zombies Chronicles Edition,2024-03-24 23:15:49.235395,PS4," Juegos de disparos,Acción",Activision Blizzard Int'l BV,2017-08-28,"Español, Italiano",4.44,362647,275611,36264,18132,7252,29011,99.99,39.99,99.99,39.99,ESP
