id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original ESP,Precio actual sin PSN ESP,Precio actual con PSN ESP,Precio original JP,Precio actual sin PSN JP,Precio actual con PSN JP,Precio original USA,Precio actual sin PSN USA,Precio actual con PSN USA
10007176,EA SPORTS FC™ 24 Standard Edition para PS4 y PS5,2024-03-26 00:07:52.888313,"PS4, PS5",Deporte,EA Swiss Sarl,2023-09-28,No hay información,3.41,60827,27372,7299,6082,3649,17031,79.99,15.99,15.99,9700.0,1940.0,1940.0,69.99,13.99,13.99
10005844,Dragon's Dogma 2,2024-03-26 00:07:56.354162,PS5," Juegos de rol,Acción",CE EUROPE LIMITED,2024-03-21," Español, Japonés, Italiano, Ruso, Árabe, Francés (Francia), Portugués (Brasil), Español (México),Alemán, Inglés",4.17,9137,6487,639,365,274,1370,74.99,74.99,74.99,8990.0,8990.0,8990.0,69.99,69.99,69.99
228748,Fortnite,2024-03-26 00:07:59.527178,PS5," Aventura,Acción",EPIC GAMES,2017-07-21," Español, Japonés, Italiano, Coreano, Ruso, Árabe, Polaco, Francés (Francia), Portugués (Brasil), Turco, Español (México),Alemán, Inglés",4.32,6741137,4786207,674113,539290,67411,674113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10003386,Rise of the Ronin™,2024-03-26 00:08:02.949162,PS5," Aventura,Acción",Sony Interactive Entertainment Europe,2024-03-21," Español, Noruego, Japonés, Italiano, Neerlandés, Ruso, Portugués (Portugal), Sueco, Polaco, Danés, Francés (Francia), Turco, Finlandés,Alemán, Inglés",4.32,3796,2657,531,151,113,341,79.99,79.99,79.99,8980.0,8980.0,8980.0,69.99,69.99,69.99
10007788,Edición Kobe Bryant de NBA 2K24 para PS5™,2024-03-26 00:08:05.636831,PS5,Deporte,2K,2023-09-07," Español, Japonés, Italiano, Coreano, Chino (Simplificado), Francés (Francia), Chino (Tradicional),Alemán, Inglés",3.12,22112,7739,2874,2653,1768,7075,79.99,0.0,0.0,8800.0,0.0,0.0,69.99,0.0,0.0
10000657,HELLDIVERS™ 2,2024-03-26 00:08:09.449311,PS5,Acción,Sony Interactive Entertainment Europe,2024-02-08," Español, Italiano, Ruso, Portugués (Portugal), Francés (Francia), Polaco,Alemán, Inglés",4.49,50885,41216,3561,1017,1017,4579,39.99,39.99,39.99,4480.0,4480.0,4480.0,39.99,39.99,39.99
10001130,Call of Duty®: Modern Warfare® III - Lote Multigeneración,2024-03-26 00:08:13.010461,"PS4, PS5",Acción,Activision Blizzard Int'l BV,2023-11-02," Español, Italiano, Ruso, Francés (Francia), Polaco,Alemán, Inglés",4.04,298449,185038,32829,35813,5968,41782,79.99,79.99,79.99,0.0,0.0,0.0,69.99,69.99,69.99
201930,Grand Theft Auto Online (PlayStation®5),2024-03-26 00:09:16.125008,PS5," Aventura,Acción",Rockstar Games,2022-03-14," Español, Italiano, Coreano, Chino (Simplificado), Ruso, Polaco, Francés (Francia), Portugués (Brasil), Chino (Tradicional),Alemán, Inglés, Español (México)",4.52,680242,537391,54419,34012,6802,47616,19.99,19.99,19.99,2475.0,2475.0,2475.0,19.99,19.99,19.99
10002427,eFootball™ 2024,2024-03-26 00:09:19.378373,PS5,Deporte,Konami,2021-09-30," Español, Italiano, Neerlandés, Ruso, Portugués (Portugal), Sueco, Árabe, Francés (Francia), Turco,Alemán, Inglés, Griego",3.75,272896,144634,32747,32747,8186,54579,19.99,12.99,12.99,2200.0,1320.0,1320.0,0.0,0.0,0.0
203897,Tom Clancy's Rainbow Six® Siege - Deluxe Edition,2024-03-26 00:09:22.683031,"PS4, PS5"," Juegos de disparos,Acción",UBISOFT ENTERTAINMENT SA,2024-03-12,No hay información,4.34,259645,189540,25964,12982,5192,28560,29.99,5.99,5.99,3960.0,198.0,198.0,39.99,5.99,5.99
10002313,The Crew™ Motorfest Standard Edition - Cross-Gen Bundle,2024-03-26 00:09:26.242424,"PS4, PS5",Conducción/Carreras,UBISOFT ENTERTAINMENT SA,2023-09-14," Español, Italiano, Francés (Francia), Portugués (Brasil), Polaco,Alemán, Inglés",4.28,17801,12282,2314,1068,356,1780,79.99,39.99,39.99,9790.0,4895.0,4895.0,69.99,34.99,34.99
209441,Red Dead Redemption 2,2024-03-26 00:09:29.671028,PS4," Únicos, Aventura,Acción",Rockstar Games,2018-10-25," Español, Italiano, Coreano, Chino (Simplificado), Ruso, Polaco, Francés (Francia), Portugués (Brasil), Chino (Tradicional),Alemán, Inglés, Español (México)",4.71,230351,202708,11517,4607,2303,9214,59.99,19.79,19.79,6555.0,2163.0,2163.0,59.99,19.79,19.79
10007978,Edición Digital WWE 2K24 Cross-Gen,2024-03-26 00:09:32.799730,"PS4, PS5",Deporte,2K,2024-03-07," Español, Italiano, Árabe, Francés (Francia),Alemán, Inglés",4.62,2216,1839,177,66,22,110,74.99,74.99,74.99,8800.0,8800.0,8800.0,69.99,69.99,69.99
232352,Apex Legends™ PS5™,2024-03-26 00:09:36.829244,PS5," Juegos de disparos,Acción",EA Swiss Sarl,2022-03-28," Español, Japonés, Italiano, Coreano, Chino (Simplificado), Ruso, Polaco, Francés (Francia), Portugués (Brasil), Chino (Tradicional),Alemán, Inglés",4.13,760458,494297,91254,60836,15209,98859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212779,Minecraft,2024-03-26 00:10:10.777529,PS4,Aventura,Mojang AB,2019-12-09," Ucraniano, Japonés, Italiano, Checo, Neerlandés, Húngaro, Polaco, Francés (Canadá), Francés (Francia), Español (México), Finlandés, Noruego, Ruso, Eslovenio, Sueco,Alemán, Turco, Griego, Español, Coreano, Chino (Simplificado), Portugués (Portugal), Danés, Portugués (Brasil), Chino (Tradicional), Inglés",4.32,1560928,1123868,140483,109264,15609,171702,0.0,0.0,0.0,2640.0,2640.0,2640.0,19.99,19.99,19.99
10000896,Genshin Impact,2024-03-26 00:10:15.105511,"PS4, PS5"," Aventura, Juegos de rol,Acción",COGNOSPHERE PTE. LTD.,2021-04-27," Español, Japonés, Italiano, Coreano, Chino (Simplificado), Portugués (Portugal), Ruso, Tailandés, Vietnamita, Francés (Francia), Turco, Chino (Tradicional),Alemán, Inglés",4.42,326495,248136,29384,16324,3264,29384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223118,Roblox,2024-03-26 00:10:18.117629,PS4,Únicos,ROBLOX Corporation,2023-10-10," Español, Japonés, Italiano, Coreano, Chino (Simplificado), Francés (Francia), Portugués (Brasil), Chino (Tradicional),Alemán, Inglés",4.24,261627,177906,23546,28778,2616,26162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000333,ELDEN RING PS4 & PS5,2024-03-26 00:10:21.471880,"PS4, PS5",Juegos de rol,BANDAI NAMCO ENTERTAINMENT EUROPE,2022-02-24," Español, Italiano, Ruso, Francés (Francia), Polaco,Alemán, Inglés",4.72,64753,57630,2590,647,647,3237,59.99,59.99,59.99,9240.0,9240.0,9240.0,59.99,59.99,59.99
