id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN
10007176,EA SPORTS FC™ 24 Standard Edition para PS4 y PS5,2024-02-22 15:18:41.303892,"PS4, PS5",['Deporte'],EA Swiss Sarl,2023-09-28,No hay información,3.45,52965,46,12,10,5,27,79.99,79.99,79.99,79.99
228748,Fortnite,2024-02-22 15:18:42.869005,PS5,"['Acción', 'Aventura']",EPIC GAMES,2017-07-21,"Alemán, Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Turco, Árabe",4.32,6642388,71,10,8,1,10,0.0,0.0,0.0,0.0
10000657,HELLDIVERS™ 2,2024-02-22 15:18:45.624867,PS5,['Acción'],Sony Interactive Entertainment Europe,2024-02-08,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Portugal), Ruso",4.29,22576,75,8,3,2,13,39.99,39.99,39.99,39.99
10001130,Call of Duty®: Modern Warfare® III - Lote Multigeneración,2024-02-22 15:18:49.127277,"PS4, PS5",['Acción'],Activision Blizzard Int'l BV,2023-11-02,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",4.04,281688,62,11,11,2,14,109.99,87.99,"109,99 €",87.99
10007788,Edición Kobe Bryant de NBA 2K24 para PS5™,2024-02-22 15:18:52.585963,PS5,['Deporte'],2K,2023-09-07,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés",3.21,17575,37,14,12,7,30,99.99,34.99,"99,99 €",34.99
10002788,UFC™ 5,2024-02-22 15:18:56.077461,PS5,['Lucha'],EA Swiss Sarl,2023-10-26,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil)",3.02,5734,30,16,12,9,33,79.99,47.99,"79,99 €",47.99
201930,Grand Theft Auto Online (PlayStation®5),2024-02-22 15:18:59.816790,PS5,"['Acción', 'Aventura']",Rockstar Games,2022-03-14,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil), Ruso",4.52,674144,79,8,5,1,7,19.99,9.99,"19,99 €",9.99
225700,SKULL AND BONES™,2024-02-22 15:19:03.360066,PS5,"['Acción', 'Aventura']",UBISOFT ENTERTAINMENT SA,2024-02-15,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil)",3.27,6001,40,13,9,9,29,0.0,0.0,0.0,0.0
10003999,FINAL FANTASY VII REBIRTH,2024-02-22 15:19:05.889938,PS5,['Juegosderol'],Square Enix LTD,2024-02-28,No hay información,0,0,0,0,0,0,0,79.99,79.99,79.99,79.99
203715,Rocket League®,2024-02-22 15:19:08.715930,PS4,"['Deporte', 'Acción', 'Conducción', 'Carreras']",Psyonix,2015-07-06,"Alemán, Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Neerlandés, Polaco, Portugués (Portugal), Ruso, Turco",4.37,1086880,71,12,8,1,8,0.0,0.0,0.0,0.0
