id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original,Oferta,Oferta PSPlus,Otra promo diferente a PSPLUS,País Store
10007176,EA SPORTS FC™ 24 Standard Edition para PS4 y PS5,2024-04-20 17:52:52.411465,"PS4, PS5",Deporte,EA Swiss Sarl,2023-09-28,No hay información,3.39,66176,29779,7941,6617,3970,18529,79.99,79.99,-1.0,0.5,ESP
228748,Fortnite,2024-04-20 17:52:54.872115,PS5,"Acción, Aventura",EPIC GAMES,2017-07-21," Español (México),Alemán, Árabe, Español, Inglés, Ruso, Italiano, Coreano, Turco, Japonés, Portugués (Brasil), Polaco, Francés (Francia)",4.32,6794892,4824373,679489,543591,67948,679489,0.0,0.0,-1.0,-1.0,ESP
10001130,Call of Duty®: Modern Warfare® III - Lote Multigeneración,2024-04-20 17:52:56.580301,"PS4, PS5",Acción,Activision Blizzard Int'l BV,2023-11-02,"Alemán, Español, Inglés, Ruso, Italiano, Polaco, Francés (Francia)",4.04,314353,191755,34578,37722,6287,44009,79.99,79.99,-1.0,-1.0,ESP
10007788,Edición Kobe Bryant de NBA 2K24 para PS5™,2024-04-20 17:52:59.728376,PS5,Deporte,2K,2023-09-07,"Alemán, Francés (Francia), Español, Inglés, Italiano, Coreano, Japonés, Chino (Simplificado), Chino (Tradicional)",3.06,27882,9758,3345,3345,2230,9479,79.99,79.99,0.0,-1.0,ESP
201930,Grand Theft Auto Online (PlayStation®5),2024-04-20 17:53:02.044765,PS5,"Acción, Aventura",Rockstar Games,2022-03-14," Español (México),Alemán, Francés (Francia), Español, Inglés, Ruso, Italiano, Coreano, Portugués (Brasil), Polaco, Chino (Simplificado), Chino (Tradicional)",4.52,685205,541311,54816,34260,6852,47964,19.99,9.99,-1.0,-1.0,ESP
10002427,eFootball™ 2024,2024-04-20 17:53:04.139710,PS5,Deporte,Konami,2021-09-30,"Alemán, Portugués (Portugal), Árabe, Español, Griego, Neerlandés, Inglés, Ruso, Italiano, Sueco, Turco, Francés (Francia)",3.76,280454,148640,33654,36459,8413,56090,0.0,0.0,-1.0,-1.0,ESP
201511,Fallout 4,2024-04-20 17:53:06.293825,PS4,Juegos de rol,Bethesda,2015-11-09,"Alemán, Español, Inglés, Italiano, Francés (Francia)",4.63,112424,91063,12366,3372,1124,4496,19.99,19.99,0.0,-1.0,ESP
10000657,HELLDIVERS™ 2,2024-04-20 17:53:08.015630,PS5,Acción,Sony Interactive Entertainment Europe,2024-02-08,"Alemán, Portugués (Portugal), Español, Inglés, Ruso, Italiano, Polaco, Francés (Francia)",4.55,63979,52462,4478,1279,639,4478,39.99,39.99,-1.0,-1.0,ESP
10007978,Edición Digital WWE 2K24 Cross-Gen,2024-04-20 17:53:10.150095,"PS4, PS5",Deporte,2K,2024-03-07,"Alemán, Árabe, Español, Inglés, Italiano, Francés (Francia)",4.58,3415,2766,307,102,34,170,74.99,63.74,-1.0,-1.0,ESP
209441,Red Dead Redemption 2,2024-04-20 17:53:12.022426,PS4,"Acción, Únicos, Aventura",Rockstar Games,2018-10-25," Español (México),Alemán, Francés (Francia), Español, Inglés, Ruso, Italiano, Coreano, Portugués (Brasil), Polaco, Chino (Simplificado), Chino (Tradicional)",4.71,235222,206995,11761,4704,2352,9408,59.99,59.99,-1.0,-1.0,ESP
216627,Temporada 10 de Overwatch 2: A la aventura,2024-04-20 17:53:14.222822,PS5," Acción, Juegos de disparos,Juegos de disparos","Blizzard Entertainment, Inc.",2022-10-04," Español (México),Alemán, Portugués (Portugal), Francés (Francia), Español, Inglés, Ruso, Italiano, Coreano, Turco, Japonés, Portugués (Brasil), Polaco, Chino (Simplificado), Chino (Tradicional)",4.29,193762,139508,19376,9688,3875,23251,0.0,0.0,-1.0,-1.0,ESP
10002100,FINAL FANTASY XVI,2024-04-20 17:53:16.049259,PS5,"Acción, Juegos de rol",Square Enix LTD,2023-06-21," Español (México),Alemán, Árabe, Español, Inglés, Ruso, Italiano, Japonés, Portugués (Brasil), Polaco, Francés (Francia)",4.52,22929,16738,3668,1375,458,687,79.99,79.99,-1.0,-1.0,ESP
10001850,God of War Ragnarök,2024-04-20 17:53:18.135335,"PS4, PS5",Acción,Sony Interactive Entertainment Europe,2022-11-08,No hay información,4.84,76727,70588,3069,1534,767,1534,79.99,49.59,0.5,-1.0,ESP
212779,Minecraft,2024-04-20 17:53:20.528874,PS4,Aventura,Mojang AB,2019-12-09,"Alemán, Ucraniano, Neerlandés, Inglés, Polaco, Chino (Simplificado), Chino (Tradicional), Noruego, Húngaro, Finlandés, Danés, Sueco, Checo, Eslovenio, Portugués (Portugal), Español, Ruso, Italiano, Coreano, Francés (Canadá), Japonés, Español (México), Griego, Portugués (Brasil), Turco, Francés (Francia)",4.32,1566801,1128096,141012,109676,15668,172348,0.0,0.0,-1.0,-1.0,ESP
10008286,ARK: Survival Ascended,2024-04-20 17:53:22.686898,PS5,"Aventura, Juegos de rol",WILDCARD PROPERTIES,2023-11-30,"Alemán, Japonés, Español, Neerlandés, Inglés, Ruso, Italiano, Danés, Portugués (Brasil), Turco, Chino (Simplificado), Francés (Francia)",4.03,8769,5699,876,438,350,1490,44.99,35.99,-1.0,-1.0,ESP
10005844,Dragon's Dogma 2,2024-04-20 17:53:24.372715,PS5,"Acción, Juegos de rol",CE EUROPE LIMITED,2024-03-21," Español (México),Alemán, Árabe, Español, Inglés, Ruso, Italiano, Japonés, Portugués (Brasil), Francés (Francia)",4.11,18640,12302,1864,1118,745,2609,74.99,74.99,-1.0,-1.0,ESP
10000896,Genshin Impact,2024-04-20 17:53:26.536673,"PS4, PS5","Acción, Juegos de rol, Aventura",COGNOSPHERE PTE. LTD.,2021-04-27,"Alemán, Tailandés, Vietnamita, Portugués (Portugal), Francés (Francia), Español, Inglés, Ruso, Italiano, Coreano, Japonés, Turco, Chino (Simplificado), Chino (Tradicional)",4.41,330538,251208,29748,16526,3305,29748,0.0,0.0,-1.0,-1.0,ESP
10008884,Sea of Thieves,2024-04-20 17:53:28.219916,PS5,Aventura,Microsoft Corporation,2024-04-30,No hay información,0.0,0,0,0,0,0,0,39.99,39.99,-1.0,-1.0,ESP
234567,Cyberpunk 2077,2024-04-20 17:53:37.822349,"PS4, PS5","Juegos de rol, Únicos",CD PROJEKT,2022-02-15,No hay información,4.35,100536,72385,12064,4021,3016,10053,49.99,29.99,0.5,-1.0,ESP
10008048,Grounded PS4® & PS5®,2024-04-20 17:53:39.893555,"PS4, PS5",Aventura,Microsoft Corporation,2024-04-16,No hay información,4.69,756,657,45,15,7,37,39.99,39.99,-1.0,-1.0,ESP
223118,Roblox,2024-04-20 17:53:42.885690,PS4,Únicos,ROBLOX Corporation,2023-10-10,"Alemán, Francés (Francia), Español, Inglés, Italiano, Coreano, Japonés, Portugués (Brasil), Chino (Simplificado), Chino (Tradicional)",4.23,278914,189661,25102,30680,5578,27891,0.0,0.0,-1.0,-1.0,ESP
