id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN,País Store
10005275,崩壊：スターレイル,2024-04-01T22:19:23.610719,PS5,"アドベンチャー, RPG",COGNOSPHERE PTE. LTD.,2023/10/10,"スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.59,15173件の評価,83％,8％,2％,1％,6％,無料,無料,無料,無料,JAP
232352,エーペックスレジェンズ‎ PS5™,2024-04-01T22:19:24.545124,PS5,"アクション, シューティング",エレクトロニック・アーツ（株）,2022/2/8,"アラビア語, イタリア語, スペイン語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.13,761584件の評価,65％,12％,8％,2％,13％,無料,無料,無料,無料,JAP
10000896,原神,2024-04-01T22:19:25.488734,"PS4, PS5","アクション, アドベンチャー, RPG",COGNOSPHERE PTE. LTD.,2021/4/27,"イタリア語, スペイン語, タイ語, トルコ語, ドイツ語, フランス語 (フランス), ベトナム語, ポルトガル語 (ポルトガル), ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.42,327904件の評価,76％,9％,5％,1％,9％,無料,無料,無料,無料,JAP
201579,ファイナルファンタジーXIV - スターターパック,2024-04-01T22:19:26.278744,"PS4, PS5","RPG, RPG, RPG",(株)スクウェア・エニックス,2021/4/27,No hay información,4.5,41762件の評価,79％,9％,3％,1％,8％,"¥6,380","¥2,552","¥6,380","¥2,552",JAP
10002427,eFootball™ 2024,2024-04-01T22:19:27.113567,PS5,スポーツ,(株)コナミデジタルエンタテインメント,2021/9/30,"日本語, 英語",3.75,275234件の評価,53％,12％,13％,3％,20％,無料,無料,無料,無料,JAP
10003386,Rise of the Ronin™,2024-04-01T22:19:28.014648,PS5,"アクション, アドベンチャー",ソニー・インタラクティブエンタテインメント,2024/3/21,"日本語, 英語",4.31,6269件の評価,69％,14％,5％,3％,9％,"¥8,980","¥8,980","¥8,980","¥8,980",JAP
10009426,Winning Post 10 2024 (PS4 & PS5),2024-04-01T22:19:28.795818,"PS4, PS5",シミュレーション,(株)コーエーテクモゲームス,2024/3/27,日本語,4.55,180件の評価,78％,11％,6％,0％,6％,"¥10,780","¥10,780","¥10,780","¥10,780",JAP
10005844,Dragon's Dogma 2,2024-04-01T22:19:29.691363,PS5,"アクション, RPG",(株)カプコン,2024/3/21,"アラビア語, イタリア語, スペイン語, スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ロシア語, 日本語, 英語",4.12,13867件の評価,68％,9％,5％,4％,14％,"¥8,990","¥8,990","¥8,990","¥8,990",JAP
10007176,EA SPORTS FC™ 24 Standard Edition PS4版 & PS5版,2024-04-01T22:19:30.672595,"PS4, PS5",スポーツ,エレクトロニック・アーツ（株）,2023/9/28,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.4,62827件の評価,45％,12％,10％,6％,28％,"¥9,700","¥9,700","¥9,700","¥9,700",JAP
231363,機動戦士ガンダム　バトルオペレーション２,2024-04-01T22:19:31.449616,PS5,アクション,株式会社バンダイナムコエンターテインメント,2021/1/28,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.64,55289件の評価,49％,12％,14％,3％,22％,無料,無料,無料,無料,JAP
