id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original,Oferta,Oferta PSPlus,Otra promo diferente a PSPLUS,País Store
10000896,原神,2024-05-21T10:37:21.905426,"PS4, PS5","アクション, アドベンチャー, RPG",COGNOSPHERE PTE. LTD.,2021/4/27,"イタリア語, スペイン語, タイ語, トルコ語, ドイツ語, フランス語 (フランス), ベトナム語, ポルトガル語 (ポルトガル), ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.41,336449件の評価,75％,9％,5％,1％,9％,無料,無料,No hay información,No hay otra promoción,JAP
232352,エーペックスレジェンズ‎ PS5™,2024-05-21T10:37:23.399741,PS5,"アクション, シューティング",エレクトロニック・アーツ（株）,2022/2/8,"アラビア語, イタリア語, スペイン語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.12,769029件の評価,65％,12％,9％,2％,13％,無料,無料,No hay información,No hay otra promoción,JAP
10007176,EA SPORTS FC™ 24 Standard Edition PS4版 & PS5版,2024-05-21T10:37:24.711088,"PS4, PS5",スポーツ,エレクトロニック・アーツ（株）,2023/9/28,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.27,81758件の評価,42％,11％,10％,6％,31％,"¥9,700","¥9,700",含まれます,No hay otra promoción,JAP
10005275,崩壊：スターレイル,2024-05-21T10:37:26.034625,PS5,"アドベンチャー, RPG",COGNOSPHERE PTE. LTD.,2023/10/10,"スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.61,18242件の評価,83％,7％,2％,1％,6％,無料,無料,No hay información,No hay otra promoción,JAP
10002427,eFootball™ 2024,2024-05-21T10:37:27.144651,PS5,スポーツ,(株)コナミデジタルエンタテインメント,2021/9/30,"日本語, 英語",3.76,290084件の評価,53％,12％,13％,3％,19％,無料,無料,No hay información,No hay otra promoción,JAP
203474,PSO2 ニュージェネシス,2024-05-21T10:37:28.433337,PS4,RPG,株式会社セガ,2016/4/19,No hay información,4.27,25280件の評価,70％,11％,7％,2％,11％,無料,無料,No hay información,No hay otra promoción,JAP
228748,Fortnite,2024-05-21T10:37:29.853349,PS5,"アクション, アドベンチャー",EPIC GAMES,2017/7/21,"アラビア語, イタリア語, スペイン語, スペイン語(メキシコ), トルコ語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 日本語, 英語, 韓国語",4.32,6850381件の評価,71％,10％,8％,1％,10％,無料,無料,No hay información,No hay otra promoción,JAP
10006891,Stellar Blade™,2024-05-21T10:37:31.142484,PS5,"アクション, アドベンチャー",ソニー・インタラクティブエンタテインメント,2024/4/25,"アラビア語, イタリア語, オランダ語, スウェーデン語, スペイン語, スペイン語(メキシコ), タイ語, デンマーク語, トルコ語, ドイツ語, ノルウェー語, フィンランド語, フランス語 (フランス), ポルトガル語 (ブラジル), ポルトガル語 (ポルトガル), ポーランド語, ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.82,38269件の評価,92％,3％,1％,1％,3％,"¥8,980","¥8,980",No hay información,No hay otra promoción,JAP
10000333,ELDEN RING PS4 & PS5,2024-05-21T10:37:32.397618,"PS4, PS5",RPG,(株)フロム・ソフトウェア,2022/2/24,日本語,4.72,70697件の評価,89％,4％,1％,1％,5％,"¥9,240","¥9,240",No hay información,No hay otra promoción,JAP
231363,機動戦士ガンダム　バトルオペレーション２,2024-05-21T10:37:33.699737,PS5,アクション,株式会社バンダイナムコエンターテインメント,2021/1/28,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.64,55893件の評価,49％,12％,14％,3％,22％,無料,無料,No hay información,No hay otra promoción,JAP
