id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original,Oferta,Oferta PSPlus,Otra promo diferente a PSPLUS,País Store
10000896,原神,2024-04-10T09:38:20.937106,"PS4, PS5","アクション, アドベンチャー, RPG",COGNOSPHERE PTE. LTD.,2021/4/27,"イタリア語, スペイン語, タイ語, トルコ語, ドイツ語, フランス語 (フランス), ベトナム語, ポルトガル語 (ポルトガル), ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.41,329228件の評価,76％,9％,5％,1％,9％,無料,無料,No hay información,No hay otra promoción,JAP
232352,エーペックスレジェンズ‎ PS5™,2024-04-10T09:38:22.729461,PS5,"アクション, シューティング",エレクトロニック・アーツ（株）,2022/2/8,"アラビア語, イタリア語, スペイン語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.13,762967件の評価,65％,12％,8％,2％,13％,無料,無料,No hay información,No hay otra promoción,JAP
10005275,崩壊：スターレイル,2024-04-10T09:38:24.103478,PS5,"アドベンチャー, RPG",COGNOSPHERE PTE. LTD.,2023/10/10,"スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.59,15651件の評価,83％,8％,2％,1％,6％,無料,無料,No hay información,No hay otra promoción,JAP
231363,機動戦士ガンダム　バトルオペレーション２,2024-04-10T09:38:25.484253,PS5,アクション,株式会社バンダイナムコエンターテインメント,2021/1/28,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.64,55428件の評価,49％,12％,14％,3％,22％,無料,無料,No hay información,No hay otra promoción,JAP
10002427,eFootball™ 2024,2024-04-10T09:38:27.072533,PS5,スポーツ,(株)コナミデジタルエンタテインメント,2021/9/30,"日本語, 英語",3.75,277576件の評価,53％,12％,13％,3％,20％,無料,無料,No hay información,No hay otra promoción,JAP
10003386,Rise of the Ronin™,2024-04-10T09:38:28.456760,PS5,"アクション, アドベンチャー",ソニー・インタラクティブエンタテインメント,2024/3/21,"日本語, 英語",4.29,7766件の評価,69％,14％,5％,4％,9％,"¥8,980","¥8,980",No hay información,No hay otra promoción,JAP
10007176,EA SPORTS FC™ 24 Standard Edition PS4版 & PS5版,2024-04-10T09:38:29.871082,"PS4, PS5",スポーツ,エレクトロニック・アーツ（株）,2023/9/28,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.39,64476件の評価,45％,12％,10％,6％,28％,"¥9,700","¥9,700",No hay información,ゲームトライアル,JAP
10001130,Call of Duty®: Modern Warfare® III - クロスジェンバンドル,2024-04-10T09:38:31.401506,"PS4, PS5",アクション,"Activision Publishing, Inc.",2023/11/2,No hay información,4.04,309189件の評価,61％,11％,12％,2％,14％,"¥9,800","¥5,880",No hay información,No hay otra promoción,JAP
10006891,Stellar Blade,2024-04-10T09:38:32.839565,PS5,"アクション, アドベンチャー",ソニー・インタラクティブエンタテインメント,2024/4/25,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"¥8,980","¥8,980",No hay información,No hay otra promoción,JAP
203474,PSO2 ニュージェネシス,2024-04-10T09:38:41.455201,PS4,RPG,株式会社セガ,2016/4/19,No hay información,4.27,25038件の評価,70％,11％,7％,2％,11％,無料,無料,No hay información,No hay otra promoción,JAP
