id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original,Oferta,Oferta PSPlus,Otra promo diferente a PSPLUS,País Store
10000896,原神,2024-04-05 09:24:35.923742,"PS4, PS5"," アドベンチャー,アクション, RPG",COGNOSPHERE PTE. LTD.,2021-04-27," スペイン語, ベトナム語, 日本語, ポルトガル語 (ポルトガル), フランス語 (フランス), 中国語 (簡体字), 英語, トルコ語, ロシア語, 中国語 (繁体字), タイ語, ドイツ語,イタリア語, 韓国語",4.41,328416,249596,29557,16420,3284,29557,0.0,0.0,-1.0,-1.0,JAP
10005275,崩壊：スターレイル,2024-04-05 09:24:37.618013,PS5," RPG,アドベンチャー",COGNOSPHERE PTE. LTD.,2023-10-10," 英語, 日本語, フランス語 (フランス), 中国語 (簡体字), ロシア語, 中国語 (繁体字), ポルトガル語 (ブラジル),スペイン語(メキシコ), ドイツ語, 韓国語",4.59,15414,12793,1233,308,154,924,0.0,0.0,-1.0,-1.0,JAP
232352,エーペックスレジェンズ‎ PS5™,2024-04-05 09:24:39.222970,PS5,"アクション, シューティング",エレクトロニック・アーツ（株）,2022-02-08," スペイン語, ポーランド語, 英語, 日本語, フランス語 (フランス), 中国語 (簡体字), ロシア語, 中国語 (繁体字),アラビア語, ポルトガル語 (ブラジル), ドイツ語, イタリア語, 韓国語",4.13,762224,495445,91466,60977,15244,99089,0.0,0.0,-1.0,-1.0,JAP
231363,機動戦士ガンダム　バトルオペレーション２,2024-04-05 09:24:40.760166,PS5,アクション,株式会社バンダイナムコエンターテインメント,2021-01-28," 英語, 日本語,中国語 (簡体字), 中国語 (繁体字), 韓国語",3.64,55340,27116,6640,7747,1660,12174,0.0,0.0,-1.0,-1.0,JAP
10003386,Rise of the Ronin™,2024-04-05 09:24:42.088291,PS5," アドベンチャー,アクション",ソニー・インタラクティブエンタテインメント,2024-03-21,"日本語, 英語",4.3,6971,4809,975,348,278,627,8980.0,8980.0,-1.0,-1.0,JAP
10002427,eFootball™ 2024,2024-04-05 09:24:43.586669,PS5,スポーツ,(株)コナミデジタルエンタテインメント,2021-09-30,"日本語, 英語",3.75,276151,146360,33138,35899,8284,55230,0.0,0.0,-1.0,-1.0,JAP
10001130,Call of Duty®: Modern Warfare® III - クロスジェンバンドル,2024-04-05 09:24:45.860979,"PS4, PS5",アクション,"Activision Publishing, Inc.",2023-11-02,No hay información,4.04,305132,186130,33564,36615,6102,42718,9800.0,5880.0,-1.0,-1.0,JAP
10007176,EA SPORTS FC™ 24 Standard Edition PS4版 & PS5版,2024-04-05 09:24:47.406219,"PS4, PS5",スポーツ,エレクトロニック・アーツ（株）,2023-09-28," 英語, 日本語,中国語 (簡体字), 中国語 (繁体字), 韓国語",3.4,63552,28598,7626,6355,3813,17794,9700.0,9700.0,-1.0,0.5,JAP
10005844,Dragon's Dogma 2,2024-04-05 09:24:49.052317,PS5,"アクション, RPG",(株)カプコン,2024-03-21," スペイン語, 英語, 日本語, フランス語 (フランス), スペイン語(メキシコ), ロシア語,アラビア語, ポルトガル語 (ブラジル), ドイツ語, イタリア語",4.12,15185,10173,1366,759,607,2125,8990.0,8990.0,-1.0,-1.0,JAP
10006891,Stellar Blade,2024-04-05 09:24:50.452428,PS5," アドベンチャー,アクション",ソニー・インタラクティブエンタテインメント,2024-04-25,No hay información,0.0,0,0,0,0,0,0,8980.0,8980.0,-1.0,-1.0,JAP
