id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Promo_1,Promo_2,Promo_3,Etiqueta Precios,País Store
228748,Fortnite,2024-04-02T11:11:50.793611,PS5,"Action, Adventure",Epic Games,7/21/2017,"Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish",4.32,6758503 ratings,71%,10%,8%,1%,10%,Free,Free,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10007788,NBA 2K24 Kobe Bryant Edition for PS5™,2024-04-02T11:11:52.118551,PS5,Sport,2K,9/8/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish",3.1,24378 ratings,35%,12%,12%,8%,33%,$69.99,$17.49,Included,No dispone de promoción extra,"['Game', True, 'PS_PLUS', 'No hay información']",USA
10008651,MLB® The Show™ 24 PS5®,2024-04-02T11:11:53.661752,"PS4, PS5",Sport,Sony Interactive Entertainment,3/19/2024,English,4.07,714 ratings,68%,8%,5%,3%,17%,$69.99,$69.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10001130,Call of Duty®: Modern Warfare® III - Cross-Gen Bundle,2024-04-02T11:11:55.392490,"PS4, PS5",Action,Activision,11/2/2023,"English, French (France), Portuguese (Brazil), Spanish (Mexico)",4.04,302796 ratings,62%,11%,12%,2%,14%,$69.99,$45.49,No hay información,No dispone de promoción extra,"['Game', True, 'No hay información', 'No hay información']",USA
10006239,Madden NFL 24,2024-04-02T11:11:56.765599,"PS4, PS5",Sport,Electronic Arts Inc,8/18/2023,English,3.18,9967 ratings,37%,13%,12%,8%,30%,$69.99,$69.99,Included,No dispone de promoción extra,"['Game', False, 'EA_ACCESS', 'No hay información']",USA
10007176,EA SPORTS FC™ 24 Standard Edition PS4 & PS5,2024-04-02T11:11:58.170864,"PS4, PS5",Sport,Electronic Arts Inc,9/29/2023,"English, French (France), Spanish (Mexico)",3.4,62926 ratings,45%,12%,10%,6%,28%,$69.99,$69.99,Game Trial,No dispone de promoción extra,"['Game', False, 'EA_ACCESS', 'No hay información']",USA
10005844,Dragon's Dogma 2,2024-04-02T11:11:59.719631,PS5,"Action, Role Playing Games","Capcom U.S.A., Inc.",3/22/2024,"Arabic, English, French (France), German, Italian, Japanese, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.12,14067 ratings,68%,9%,5%,4%,14%,$69.99,$69.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10000657,HELLDIVERS™ 2,2024-04-02T11:12:00.971983,PS5,Action,Sony Interactive Entertainment,2/8/2024,"English, French (France), Portuguese (Brazil), Spanish (Mexico)",4.51,55127 ratings,81%,7%,2%,1%,8%,$39.99,$39.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
203897,Tom Clancy's Rainbow Six® Siege Deluxe Edition,2024-04-02T11:12:02.392770,"PS4, PS5","Action, Shooter",Ubisoft Entertainment,3/12/2024,No hay información,4.34,259968 ratings,73%,10%,5%,2%,11%,$39.99,$39.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
201930,Grand Theft Auto Online (PlayStation®5),2024-04-02T11:12:03.736928,PS5,"Action, Adventure",Rockstar Games,3/15/2022,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.52,681731 ratings,79%,8%,5%,1%,7%,$19.99,$19.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
