id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original,Oferta,Oferta PSPlus,Otra promo diferente a PSPLUS,País Store
228748,Fortnite,2024-05-08T09:31:08.207255,PS5,"Action, Adventure",Epic Games,7/21/2017,"Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish",4.32,6829706 ratings,71%,10%,8%,1%,10%,Free,Free,No hay información,No hay otra promoción,USA
10007788,NBA 2K24 Kobe Bryant Edition for PS5™,2024-05-08T09:31:09.457173,PS5,Sport,2K,9/8/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish",3.04,30067 ratings,34%,12%,12%,8%,34%,$69.99,$69.99,Included,No hay otra promoción,USA
10001130,Call of Duty®: Modern Warfare® III - Cross-Gen Bundle,2024-05-08T09:31:10.806014,"PS4, PS5",Action,Activision,11/2/2023,"English, French (France), Portuguese (Brazil), Spanish (Mexico)",4.04,322954 ratings,61%,11%,12%,2%,14%,$69.99,$69.99,No hay información,No hay otra promoción,USA
10007176,EA SPORTS FC™ 24 Standard Edition PS4 & PS5,2024-05-08T09:31:12.074806,"PS4, PS5",Sport,Electronic Arts Inc,9/29/2023,"English, French (France), Spanish (Mexico)",3.35,71176 ratings,44%,12%,10%,6%,29%,$69.99,$69.99,Included,No hay otra promoción,USA
10008884,Sea of Thieves,2024-05-08T09:31:13.385342,PS5,Adventure,Microsoft Corporation,4/30/2024,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Thai, Turkish",4.6,3275 ratings,84%,6%,1%,1%,7%,$39.99,$39.99,No hay información,No hay otra promoción,USA
10008651,MLB® The Show™ 24 PS5®,2024-05-08T09:31:14.771071,"PS4, PS5",Sport,Sony Interactive Entertainment,3/19/2024,English,3.9,1546 ratings,60%,12%,6%,4%,19%,$69.99,$69.99,Game Trial,No hay otra promoción,USA
10006239,Madden NFL 24,2024-05-08T09:31:16.334350,"PS4, PS5",Sport,Electronic Arts Inc,8/18/2023,English,3.18,11105 ratings,37%,13%,12%,8%,30%,$69.99,$13.99,No hay información,Included,USA
232352,Apex Legends™ PS5™,2024-05-08T09:31:17.536868,PS5,"Action, Shooter",Electronic Arts Inc,2/8/2022,"Arabic, Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish",4.12,767250 ratings,65%,12%,9%,2%,13%,Free,Free,No hay información,No hay otra promoción,USA
10006891,Stellar Blade™,2024-05-08T09:31:18.766698,PS5,"Action, Adventure",Sony Interactive Entertainment,4/26/2024,"Arabic, Chinese (Simplified), Chinese (Traditional), Danish, Dutch, English, Finnish, French (France), German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Spanish, Spanish (Mexico), Swedish, Thai, Turkish",4.81,32024 ratings,92%,3%,1%,1%,3%,$69.99,$69.99,No hay información,No hay otra promoción,USA
10000896,Genshin Impact,2024-05-08T09:31:20.075953,"PS4, PS5","Action, Adventure, Role Playing Games",COGNOSPHERE PTE. LTD.,4/27/2021,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Portugal), Russian, Spanish, Thai, Turkish, Vietnamese",4.41,334196 ratings,76%,9%,5%,1%,9%,Free,Free,No hay información,No hay otra promoción,USA
201930,Grand Theft Auto Online (PlayStation®5),2024-05-08T09:31:21.366471,PS5,"Action, Adventure",Rockstar Games,3/15/2022,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.52,688057 ratings,79%,8%,5%,1%,7%,$19.99,$19.99,No hay información,No hay otra promoción,USA
223118,Roblox,2024-05-08T09:31:22.684568,PS4,Unique,ROBLOX Corporation,10/10/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Spanish",4.23,289336 ratings,68%,9%,11%,2%,11%,Free,Free,No hay información,No hay otra promoción,USA
10000657,HELLDIVERS™ 2,2024-05-08T09:31:23.878565,PS5,Action,Sony Interactive Entertainment,2/8/2024,"English, French (France), Portuguese (Brazil), Spanish (Mexico)",4.48,72129 ratings,81%,7%,2%,1%,9%,$39.99,$39.99,No hay información,No hay otra promoción,USA
201511,Fallout 4,2024-05-08T09:31:25.505099,"PS4, PS5",Role Playing Games,Bethesda Softworks,4/25/2024,No hay información,4.62,122068 ratings,80%,11%,3%,1%,4%,$19.99,$19.99,Included,No hay otra promoción,USA
203897,Tom Clancy's Rainbow Six® Siege Deluxe Edition,2024-05-08T09:31:26.978290,"PS4, PS5","Action, Shooter",Ubisoft Entertainment,3/12/2024,No hay información,4.33,260974 ratings,73%,10%,5%,2%,11%,$39.99,$9.99,No hay información,No hay otra promoción,USA
221852,Destiny 2 PS4™ & PS5™,2024-05-08T09:31:28.485102,"PS4, PS5","Adventure, Shooter, Action",Bungie,12/8/2020,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.28,290889 ratings,70%,11%,6%,2%,11%,Free,Free,No hay información,No hay otra promoción,USA
232248,Fallout 76,2024-05-08T09:31:29.691663,PS4,Role Playing Games,Bethesda Softworks,11/14/2018,"English, French (France), Portuguese (Brazil), Spanish",3.6,48997 ratings,51%,12%,7%,6%,24%,$39.99,$39.99,Included,No hay otra promoción,USA
212779,Minecraft,2024-05-08T09:31:30.860192,PS4,Adventure,Mojang,12/10/2019,"Bulgarian, Chinese (Simplified), Chinese (Traditional), Czech, Danish, Dutch, English, Finnish, French (Canada), German, Greek, Hungarian, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Slovenian, Spanish, Spanish (Mexico), Swedish, Turkish, Ukrainian",4.32,1570437 ratings,72%,9%,7%,1%,11%,$19.99,$19.99,No hay información,No hay otra promoción,USA
205342,Warframe®,2024-05-08T09:31:32.121878,PS5,"Action, Shooter, Unique",Digital Extremes,11/26/2020,"English, French (France), German, Italian, Spanish",4.34,667171 ratings,67%,15%,9%,2%,7%,Free,Free,No hay información,No hay otra promoción,USA
10007978,WWE 2K24 Cross-Gen Digital Edition,2024-05-08T09:31:33.670153,"PS4, PS5",Sport,2K,3/8/2024,No hay información,4.53,3901 ratings,79%,10%,4%,2%,6%,$69.99,$69.99,No hay información,No hay otra promoción,USA
