id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original,Oferta,Oferta PSPlus,Otra promo diferente a PSPLUS,País Store
228748,Fortnite,2024-04-14T17:43:42.993940,PS5,"Action, Adventure",Epic Games,7/21/2017,"Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish",4.32,6785881 ratings,71%,10%,8%,1%,10%,Free,Free,No hay información,No hay otra promoción,USA
10001130,Call of Duty®: Modern Warfare® III - Cross-Gen Bundle,2024-04-14T17:43:44.573086,"PS4, PS5",Action,Activision,11/2/2023,"English, French (France), Portuguese (Brazil), Spanish (Mexico)",4.04,311640 ratings,61%,11%,12%,2%,14%,$69.99,$69.99,No hay información,No hay otra promoción,USA
10007788,NBA 2K24 Kobe Bryant Edition for PS5™,2024-04-14T17:43:46.548676,PS5,Sport,2K,9/8/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish",3.07,27065 ratings,35%,12%,12%,8%,34%,$69.99,$69.99,Included,No hay otra promoción,USA
10008651,MLB® The Show™ 24 PS5®,2024-04-14T17:43:49.382766,"PS4, PS5",Sport,Sony Interactive Entertainment,3/19/2024,English,3.91,1085 ratings,62%,10%,5%,4%,20%,$69.99,$69.99,Game Trial,No hay otra promoción,USA
10000657,HELLDIVERS™ 2,2024-04-14T17:43:50.785596,PS5,Action,Sony Interactive Entertainment,2/8/2024,"English, French (France), Portuguese (Brazil), Spanish (Mexico)",4.54,61657 ratings,82%,7%,2%,1%,8%,$39.99,$39.99,No hay información,No hay otra promoción,USA
10006239,Madden NFL 24,2024-04-14T17:43:52.169143,"PS4, PS5",Sport,Electronic Arts Inc,8/18/2023,English,3.18,10289 ratings,37%,13%,12%,8%,30%,$69.99,$69.99,No hay información,Included,USA
10007176,EA SPORTS FC™ 24 Standard Edition PS4 & PS5,2024-04-14T17:43:54.047172,"PS4, PS5",Sport,Electronic Arts Inc,9/29/2023,"English, French (France), Spanish (Mexico)",3.39,65252 ratings,45%,12%,10%,6%,28%,$69.99,$69.99,No hay información,Game Trial,USA
10007978,WWE 2K24 Cross-Gen Digital Edition,2024-04-14T17:43:55.789751,"PS4, PS5",Sport,2K,3/8/2024,No hay información,4.6,3131 ratings,81%,9%,3%,2%,5%,$69.99,$59.49,No hay información,No hay otra promoción,USA
201930,Grand Theft Auto Online (PlayStation®5),2024-04-14T17:43:57.489669,PS5,"Action, Adventure",Rockstar Games,3/15/2022,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.52,684222 ratings,79%,8%,5%,1%,7%,$19.99,$9.99,No hay información,No hay otra promoción,USA
203897,Tom Clancy's Rainbow Six® Siege Deluxe Edition,2024-04-14T17:43:59.322517,"PS4, PS5","Action, Shooter",Ubisoft Entertainment,3/12/2024,No hay información,4.34,260363 ratings,73%,10%,5%,2%,11%,$39.99,$39.99,No hay información,No hay otra promoción,USA
221852,Destiny 2 PS4™ & PS5™,2024-04-14T17:44:00.858114,"PS4, PS5","Adventure, Shooter, Action",Bungie,12/8/2020,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.28,289578 ratings,70%,11%,6%,2%,10%,Free,Free,No hay información,No hay otra promoción,USA
223118,Roblox,2024-04-14T17:44:02.413490,PS4,Unique,ROBLOX Corporation,10/10/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Spanish",4.23,275799 ratings,68%,9%,11%,2%,10%,Free,Free,No hay información,No hay otra promoción,USA
10005844,Dragon's Dogma 2,2024-04-14T17:44:03.820044,PS5,"Action, Role Playing Games","Capcom U.S.A., Inc.",3/22/2024,"Arabic, English, French (France), German, Italian, Japanese, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.11,17677 ratings,66%,10%,5%,4%,14%,$69.99,$69.99,No hay información,No hay otra promoción,USA
10008884,Sea of Thieves,2024-04-14T17:44:05.419275,PS5,Adventure,Microsoft Corporation,4/30/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,$39.99,$39.99,No hay información,No hay otra promoción,USA
232352,Apex Legends™ PS5™,2024-04-14T17:44:12.897723,PS5,"Action, Shooter",Electronic Arts Inc,2/8/2022,"Arabic, Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish",4.13,763689 ratings,65%,12%,8%,2%,13%,Free,Free,No hay información,No hay otra promoción,USA
212779,Minecraft,2024-04-14T17:44:14.447462,PS4,Adventure,Mojang,12/10/2019,"Bulgarian, Chinese (Simplified), Chinese (Traditional), Czech, Danish, Dutch, English, Finnish, French (Canada), German, Greek, Hungarian, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Slovenian, Spanish, Spanish (Mexico), Swedish, Turkish, Ukrainian",4.32,1565719 ratings,72%,9%,7%,1%,11%,$19.99,$19.99,No hay información,No hay otra promoción,USA
10003386,Rise of the Ronin™,2024-04-14T17:44:15.941473,PS5,"Action, Adventure",Sony Interactive Entertainment,3/22/2024,"English, French (France), Japanese, Portuguese (Brazil), Spanish (Mexico)",4.28,8297 ratings,68%,14%,5%,4%,9%,$69.99,$69.99,No hay información,No hay otra promoción,USA
