id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original,Oferta,Oferta PSPlus,Otra promo diferente a PSPLUS,País Store
228748,Fortnite,2024-04-30 08:55:06.644926,PS5,"Action, Adventure",Epic Games,2017-07-21," Japanese, Italian,Arabic, Spanish, English, Turkish, Portuguese (Brazil), Polish, Russian, Korean, German, Spanish (Mexico), French (France)",4.32,6812186,4836652,681218,544974,68121,681218,0.0,0.0,-1.0,-1.0,USA
10001130,Call of Duty®: Modern Warfare® III - Cross-Gen Bundle,2024-04-30 08:55:07.884442,"PS4, PS5",Action,Activision,2023-11-02," Spanish (Mexico), Portuguese (Brazil),English, French (France)",4.04,318976,194575,35087,38277,6379,44656,69.99,69.99,-1.0,-1.0,USA
10007788,NBA 2K24 Kobe Bryant Edition for PS5™,2024-04-30 08:55:09.151924,PS5,Sport,2K,2023-09-08," Chinese (Traditional), Japanese, Italian, Spanish,Chinese (Simplified), English, Korean, German, French (France)",3.05,29091,9890,3490,3490,2327,9890,69.99,69.99,0.0,-1.0,USA
10006891,Stellar Blade™,2024-04-30 08:55:10.675042,PS5,"Action, Adventure",Sony Interactive Entertainment,2024-04-26," Italian, Chinese (Simplified),Arabic, Finnish, Portuguese (Brazil), Norwegian, French (France), Chinese (Traditional), Japanese, Spanish, English, Swedish, Turkish, Polish, Spanish (Mexico), Korean, German, Dutch, Portuguese (Portugal), Danish, Russian, Thai",4.79,22659,20846,679,226,226,679,69.99,69.99,-1.0,-1.0,USA
10007176,EA SPORTS FC™ 24 Standard Edition PS4 & PS5,2024-04-30 08:55:11.921325,"PS4, PS5",Sport,Electronic Arts Inc,2023-09-29," Spanish (Mexico),English, French (France)",3.38,67662,29771,8119,6766,4059,19621,69.99,69.99,-1.0,0.5,USA
10000896,Genshin Impact,2024-04-30 08:55:13.336072,"PS4, PS5","Action, Role Playing Games, Adventure",COGNOSPHERE PTE. LTD.,2021-04-27," Chinese (Traditional), Japanese, Italian, Portuguese (Portugal), Spanish, Vietnamese,Chinese (Simplified), English, Turkish, Russian, Korean, German, Thai, French (France)",4.41,332539,252729,29928,16626,3325,29928,0.0,0.0,-1.0,-1.0,USA
10008651,MLB® The Show™ 24 PS5®,2024-04-30 08:55:14.477258,"PS4, PS5",Sport,Sony Interactive Entertainment,2024-03-19,English,3.91,1390,847,166,69,55,264,69.99,69.99,0.5,-1.0,USA
10006239,Madden NFL 24,2024-04-30 08:55:15.750518,"PS4, PS5",Sport,Electronic Arts Inc,2023-08-18,English,3.18,10776,3987,1400,1293,862,3232,69.99,13.99,-1.0,0.0,USA
201511,Fallout 4,2024-04-30 08:55:17.125406,"PS4, PS5",Role Playing Games,Bethesda Softworks,2024-04-25,No hay información,4.62,119797,95837,13177,3593,1197,4791,19.99,19.99,0.0,-1.0,USA
10008884,Sea of Thieves,2024-04-30 08:55:17.910015,PS5,Adventure,Microsoft Corporation,2024-04-30,No hay información,0.0,0,0,0,0,0,0,39.99,39.99,-1.0,-1.0,USA
201930,Grand Theft Auto Online (PlayStation®5),2024-04-30 08:55:25.070169,PS5,"Action, Adventure",Rockstar Games,2022-03-15," Chinese (Traditional), Italian, Spanish,Chinese (Simplified), English, Portuguese (Brazil), Polish, Russian, Korean, German, Spanish (Mexico), French (France)",4.52,686832,542597,54946,34341,6868,48078,19.99,19.99,-1.0,-1.0,USA
10000657,HELLDIVERS™ 2,2024-04-30 08:55:26.398620,PS5,Action,Sony Interactive Entertainment,2024-02-08," Spanish (Mexico), Portuguese (Brazil),English, French (France)",4.55,66172,54261,4632,1323,661,4632,39.99,39.99,-1.0,-1.0,USA
232352,Apex Legends™ PS5™,2024-04-30 08:55:27.758860,PS5,"Action, Shooter",Electronic Arts Inc,2022-02-08," Chinese (Traditional), Japanese, Italian, Chinese (Simplified),Arabic, Spanish, English, Portuguese (Brazil), Polish, Russian, Korean, German, French (France)",4.12,765964,497876,91915,68936,15319,99575,0.0,0.0,-1.0,-1.0,USA
223118,Roblox,2024-04-30 08:55:28.995218,PS4,Unique,ROBLOX Corporation,2023-10-10," Chinese (Traditional), Japanese, Italian, Spanish,Chinese (Simplified), English, Portuguese (Brazil), Korean, German, French (France)",4.23,284769,193642,25629,31324,5695,31324,0.0,0.0,-1.0,-1.0,USA
232248,Fallout 76,2024-04-30 08:55:30.358038,PS4,Role Playing Games,Bethesda Softworks,2018-11-14," Portuguese (Brazil),English, French (France), Spanish",3.6,48317,24641,5798,3382,2899,11596,39.99,39.99,0.0,-1.0,USA
203897,Tom Clancy's Rainbow Six® Siege Deluxe Edition,2024-04-30 08:55:31.810063,"PS4, PS5","Action, Shooter",Ubisoft Entertainment,2024-03-12,No hay información,4.33,260732,190334,26073,13036,5214,28680,39.99,9.99,-1.0,-1.0,USA
221852,Destiny 2 PS4™ & PS5™,2024-04-30 08:55:33.367263,"PS4, PS5"," Action,Adventure, Shooter",Bungie,2020-12-08," Chinese (Traditional), Japanese, Italian, Spanish,Chinese (Simplified), English, Portuguese (Brazil), Polish, Russian, Korean, German, Spanish (Mexico), French (France)",4.28,290408,203285,31944,17424,5808,29040,0.0,0.0,-1.0,-1.0,USA
10007978,WWE 2K24 Cross-Gen Digital Edition,2024-04-30 08:55:34.706673,"PS4, PS5",Sport,2K,2024-03-08,No hay información,4.55,3721,2976,334,111,74,223,69.99,69.99,-1.0,-1.0,USA
