id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN,País Store
10007176,EA SPORTS FC™ 24 Standard Edition PS4版 & PS5版,2024-03-17T22:04:23.506628,"PS4, PS5",スポーツ,エレクトロニック・アーツ（株）,2023/9/28,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.41,57864件の評価,45％,12％,10％,5％,28％,"¥9,700","¥1,940","¥9,700","¥1,940",JAP
228748,Fortnite,2024-03-17T22:04:27.969640,PS5,"アクション, アドベンチャー",EPIC GAMES,2017/7/21,"アラビア語, イタリア語, スペイン語, スペイン語(メキシコ), トルコ語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 日本語, 英語, 韓国語",4.32,6722978件の評価,71％,10％,8％,1％,10％,無料,無料,無料,無料,JAP
10000657,HELLDIVERS™ 2,2024-03-17T22:04:31.261431,PS5,アクション,ソニー・インタラクティブエンタテインメント,2024/2/8,"日本語, 英語",4.48,45920件の評価,81％,7％,2％,2％,9％,"¥4,480","¥4,480","¥4,480","¥4,480",JAP
10001130,Call of Duty®: Modern Warfare® III - クロスジェンバンドル,2024-03-17T22:04:35.382447,"PS4, PS5",アクション,"Activision Publishing, Inc.",2023/11/2,No hay información,4.04,294502件の評価,62％,11％,11％,2％,14％,"¥9,800","¥9,800","¥9,800","¥9,800",JAP
201930,GTAオンライン (PlayStation®5),2024-03-17T22:04:39.948558,PS5,"アクション, アドベンチャー",Take-Two Interactive Japan GK,2022/3/14,"日本語, 英語",4.52,678867件の評価,79％,8％,5％,1％,7％,"¥2,475","¥1,237","¥2,475","¥1,237",JAP
10007788,PS5™版『NBA 2K24』コービー・ブライアント エディション (通常版),2024-03-17T22:04:44.693068,PS5,スポーツ,Take-Two,2023/9/7,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.16,19709件の評価,36％,13％,12％,8％,31％,"¥8,800","¥8,800","¥8,800","¥8,800",JAP
10005844,Dragon's Dogma 2,2024-03-17T22:04:48.418802,PS5,"アクション, RPG",(株)カプコン,2024/3/21,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"¥8,990","¥8,990","¥8,990","¥8,990",JAP
203897,『レインボーシックス シージ』デラックスエディション,2024-03-17T22:04:52.907811,"PS4, PS5","アクション, シューティング",ユービーアイソフト(株),2024/3/12,No hay información,4.34,259026件の評価,73％,10％,5％,2％,11％,"¥3,960",¥198,"¥3,960",¥198,JAP
10007978,『WWE 2K24』両世代機対応デジタル エディション,2024-03-17T22:04:58.006498,"PS4, PS5",スポーツ,Take-Two,2024/3/7,No hay información,4.66,1790件の評価,84％,7％,3％,1％,4％,"¥8,800","¥8,800","¥8,800","¥8,800",JAP
10003999,FINAL FANTASY VII REBIRTH,2024-03-17T22:05:01.723673,PS5,RPG,(株)スクウェア・エニックス,2024/2/28,"イタリア語, スペイン語, スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), 日本語, 英語",4.78,21635件の評価,92％,2％,2％,1％,3％,"¥9,878","¥9,878","¥9,878","¥9,878",JAP
10000896,原神,2024-03-17T22:05:05.004711,"PS4, PS5","アクション, アドベンチャー, RPG",COGNOSPHERE PTE. LTD.,2021/4/27,"イタリア語, スペイン語, タイ語, トルコ語, ドイツ語, フランス語 (フランス), ベトナム語, ポルトガル語 (ポルトガル), ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.42,325052件の評価,76％,9％,5％,1％,9％,無料,無料,無料,無料,JAP
10008554,No hay información,2024-03-17T22:05:08.372858,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,JAP
10003386,Rise of the Ronin™,2024-03-17T22:05:11.926776,PS5,"アクション, アドベンチャー",ソニー・インタラクティブエンタテインメント,2024/3/21,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"¥8,980","¥8,980","¥8,980","¥8,980",JAP
10002788,UFC™ 5,2024-03-17T22:05:16.986842,PS5,格闘,エレクトロニック・アーツ（株）,2023/10/26,"イタリア語, スペイン語, スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3,6377件の評価,30％,16％,12％,9％,34％,"¥9,700","¥9,700","¥9,700","¥9,700",JAP
10002427,eFootball™ 2024,2024-03-17T22:05:21.207606,PS5,スポーツ,(株)コナミデジタルエンタテインメント,2021/9/30,"日本語, 英語",3.75,269685件の評価,53％,12％,12％,3％,20％,"¥2,200","¥1,320","¥2,200","¥1,320",JAP
203715,ロケットリーグ®,2024-03-17T22:05:25.262997,PS4,"スポーツ, アクション, ドライビング／レース",Psyonix LLC,2020/9/23,"イタリア語, オランダ語, スペイン語, トルコ語, ドイツ語, フランス語 (フランス), ポルトガル語 (ポルトガル), ポーランド語, ロシア語, 日本語, 英語, 韓国語",4.37,1096664件の評価,71％,12％,8％,1％,8％,無料,無料,無料,無料,JAP
10000333,ELDEN RING PS4 & PS5,2024-03-17T22:05:29.092179,"PS4, PS5",RPG,(株)フロム・ソフトウェア,2022/2/24,日本語,4.72,63665件の評価,89％,4％,1％,1％,5％,"¥9,240","¥9,240","¥9,240","¥9,240",JAP
10000956,グランツーリスモ７,2024-03-17T22:05:32.914899,"PS4, PS5",ドライビング／レース,株式会社ソニー・インタラクティブエンタテインメント,2022/3/3,"日本語, 英語",4.35,17645件の評価,71％,13％,5％,2％,9％,"¥8,690","¥8,690","¥8,690","¥8,690",JAP
233235,ドラゴンボールZ KAKAROT PS4&PS5,2024-03-17T22:05:37.705901,"PS4, PS5","アクション, アドベンチャー, RPG",株式会社バンダイナムコエンターテインメント,2023/1/11,日本語,4.58,39403件の評価,79％,10％,6％,1％,4％,"¥4,400","¥4,400","¥4,400","¥4,400",JAP
212779,Minecraft,2024-03-17T22:05:42.233978,PS4,アドベンチャー,Mojang AB/日本マイクロソフト,2019/12/9,"イタリア語, ウクライナ語, オランダ語, ギリシャ語, スウェーデン語, スペイン語, スペイン語(メキシコ), スロベニア語, チェコ語, デンマーク語, トルコ語, ドイツ語, ノルウェー語, ハンガリー語, フィンランド語, フランス語 (カナダ), フランス語 (フランス), ブルガリア語, ポルトガル語 (ブラジル), ポルトガル語 (ポルトガル), ポーランド語, ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.32,1559271件の評価,72％,9％,7％,1％,10％,"¥2,640","¥2,640","¥2,640","¥2,640",JAP
10007412,Taxi Life: A City Driving Simulator,2024-03-17T22:05:46.138136,PS5,"ドライビング／レース, シミュレーション",NACON SA,2024/3/7,"アラビア語, イタリア語, オランダ語, スペイン語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",2.75,666件の評価,22％,14％,15％,15％,34％,"¥5,830","¥5,830","¥5,830","¥5,830",JAP
227319,Dead by Daylight,2024-03-17T22:05:51.309853,"PS4, PS5","ホラー, アクション, ホラー",STARBREEZE PUBLISHING AB,2020/11/11,No hay información,4.19,102309件の評価,67％,13％,5％,2％,13％,購入できません,購入できません,購入できません,購入できません,JAP
10002313,ザ・クルー：モーターフェス スタンダードエディション - Cross-Genバンドル,2024-03-17T22:05:57.505512,"PS4, PS5",ドライビング／レース,ユービーアイソフト(株),2023/9/11,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.29,17047件の評価,69％,13％,6％,2％,10％,"¥9,790","¥4,895","¥9,790","¥4,895",JAP
10007460,バルダーズ・ゲート3,2024-03-17T22:06:00.540733,PS5,RPG,株式会社スパイク・チュンソフト,2023/12/20,"日本語, 英語",4.82,42658件の評価,92％,3％,1％,1％,3％,"¥8,580","¥8,580","¥8,580","¥8,580",JAP
10002456,Marvel’s Spider-Man 2,2024-03-17T22:06:05.750233,PS5,アクション,ソニー・インタラクティブエンタテインメント,2023/10/19,"日本語, 英語",4.87,110320件の評価,93％,4％,1％,1％,1％,"¥8,980","¥8,980","¥8,980","¥8,980",JAP
223118,Roblox,2024-03-17T22:06:09.841173,PS4,その他,Roblox合同会社,2023/10/10,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.24,256489件の評価,69％,9％,11％,1％,10％,無料,無料,無料,無料,JAP
10004473,BIOHAZARD RE:4 PS4 & PS5,2024-03-17T22:06:15.954751,"PS4, PS5","アクション, アドベンチャー, ホラー",(株)カプコン,2023/3/23,"アラビア語, イタリア語, スペイン語, スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.8,51697件の評価,89％,5％,4％,0％,2％,"¥4,990","¥3,992","¥4,990","¥3,992",JAP
209441,レッド・デッド・リデンプション2,2024-03-17T22:06:20.076136,PS4,"アクション, アドベンチャー, その他",Rockstar Games,2018/10/25,No hay información,4.7,229077件の評価,88％,5％,2％,1％,4％,"¥10,925","¥3,277","¥10,925","¥3,277",JAP
10000237,アサシン クリード ヴァルハラ PS4 & PS5,2024-03-17T22:06:24.496239,"PS4, PS5",RPG,ユービーアイソフト(株),2020/11/11,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.18,48288件の評価,66％,13％,7％,4％,11％,"¥9,240","¥2,310","¥9,240",含まれます,JAP
10004865,アサシン クリード ミラージュ,2024-03-17T22:06:28.563753,"PS4, PS5","アクション, アドベンチャー",ユービーアイソフト(株),2023/10/4,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.98,14633件の評価,50％,23％,12％,7％,9％,"¥7,920","¥4,752","¥7,920","¥4,752",JAP
228857,The Sims™ 4,2024-03-17T22:06:33.602269,PS4,"アクション, シミュレーション",エレクトロニック・アーツ（株）,2017/11/16,No hay información,3.98,87599件の評価,60％,13％,9％,3％,16％,無料,無料,無料,無料,JAP
10001609,スーサイド・スクワッド キル・ザ・ジャスティス・リーグ,2024-03-17T22:06:37.586574,PS5,シューティング,ワーナー ブラザース ジャパン合同会社,2024/2/1,"アラビア語, イタリア語, スペイン語, スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.29,9030件の評価,66％,17％,6％,4％,8％,"¥9,878","¥9,878","¥9,878","¥9,878",JAP
10005985,プリンス オブ ペルシャ 失われた王冠,2024-03-17T22:06:41.874328,"PS4, PS5",アクション,ユービーアイソフト(株),2024/1/17,No hay información,4.46,3616件の評価,74％,12％,6％,2％,6％,"¥6,600","¥3,960","¥6,600","¥3,960",JAP
221852,Destiny 2 PS4™ & PS5™,2024-03-17T22:06:47.337068,"PS4, PS5","アドベンチャー, シューティング, アクション",BUNGIE INC.,2020/12/8,"イタリア語, スペイン語, スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.28,287826件の評価,70％,11％,6％,2％,10％,無料,無料,無料,無料,JAP
10008651,MLB® The Show™ 24（英語版）PS5®,2024-03-17T22:06:50.855596,"PS4, PS5",スポーツ,SONY INTERACTIVE ENTERTAINMENT,2024/3/19,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"¥7,980","¥7,980","¥7,980","¥7,980",JAP
217012,ドラゴンボール ゼノバース2 Welcome Price!!,2024-03-17T22:06:54.689587,PS4,"アクション, カジュアル, 格闘",株式会社バンダイナムコエンターテインメント,2016/11/1,No hay información,3.84,215319件の評価,60％,10％,7％,2％,22％,"¥2,970",含まれます,"¥2,970",含まれます,JAP
10006270,鉄拳8,2024-03-17T22:06:59.430953,PS5,"アクション, 格闘",株式会社バンダイナムコエンターテインメント,2024/1/25,"日本語, 英語",4.65,7640件の評価,86％,4％,5％,1％,5％,"¥9,680","¥9,680","¥9,680","¥9,680",JAP
10005114,STAR WARS ジェダイ：サバイバー™,2024-03-17T22:07:03.030783,PS5,アクション,エレクトロニック・アーツ（株）,2023/4/28,"イタリア語, スペイン語, スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.51,10476件の評価,67％,23％,5％,2％,3％,"¥9,700","¥8,730","¥9,700","¥8,730",JAP
232447,『ホグワーツ・レガシー』PS5版,2024-03-17T22:07:06.756985,PS5,その他,ワーナー ブラザース ジャパン合同会社,2023/2/9,"スペイン語(メキシコ), フランス語 (フランス), ポルトガル語 (ブラジル), 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.5,32073件の評価,72％,16％,6％,2％,4％,"¥10,978","¥5,489","¥10,978","¥5,489",JAP
233072,Rust Console Edition,2024-03-17T22:07:10.552824,PS4,"アクション, アドベンチャー, シューティング",Double Eleven Ltd,2021/6/23,"イタリア語, オランダ語, スウェーデン語, スペイン語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.66,19423件の評価,58％,7％,5％,4％,26％,"¥6,050","¥6,050","¥6,050","¥6,050",JAP
200763,コール オブ デューティ ブラックオプス III ダウンロード通常版,2024-03-17T22:07:14.676235,PS4,"アクション, シューティング, シューティング","Activision Publishing, Inc.",2015/11/5,No hay información,4.44,362496件の評価,76％,10％,5％,2％,8％,"¥9,790","¥3,916","¥9,790","¥3,916",JAP
205366,War Thunder,2024-03-17T22:07:19.312689,PS5,"シミュレーション, アクション, その他",EXNOA LLC,2020/11/16,日本語,4.16,342281件の評価,62％,15％,11％,3％,10％,無料,無料,無料,無料,JAP
216627,「オーバーウォッチ 2」シーズン9：チャンピオンズ,2024-03-17T22:07:23.237370,PS5,"シューティング, アクション, シューティング",BLIZZARD ENTERTAINMENT INC,2022/10/4,"イタリア語, スペイン語, スペイン語(メキシコ), トルコ語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポルトガル語 (ポルトガル), ポーランド語, ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.3,191177件の評価,72％,10％,5％,2％,11％,無料,無料,無料,無料,JAP
233961,ファークライ6 PS4 & PS5,2024-03-17T22:07:27.933780,"PS4, PS5",その他,ユービーアイソフト(株),2021/10/6,"スペイン語(メキシコ), タイ語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.04,43630件の評価,60％,13％,9％,3％,13％,"¥9,240","¥2,310","¥9,240",含まれます,JAP
10004911,No hay información,2024-03-17T22:07:32.082930,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,JAP
234959,スノーランナー,2024-03-17T22:07:37.410159,PS5,"アーケード, ドライビング／レース, シミュレーション",株式会社オーイズミ・アミュージオ,2022/7/27,"イタリア語, スペイン語, チェコ語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 中国語 (簡体字), 中国語 (繁体字), 英語, 韓国語",4.24,20406件の評価,70％,11％,5％,3％,12％,"¥4,980","¥4,980","¥4,980","¥4,980",JAP
10002100,FINAL FANTASY XVI,2024-03-17T22:07:42.073990,PS5,"アクション, RPG",(株)スクウェア・エニックス,2023/6/21,"アラビア語, イタリア語, スペイン語, スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 日本語, 英語",4.52,20808件の評価,72％,17％,6％,2％,3％,"¥9,900","¥6,930","¥9,900","¥6,930",JAP
205342,Warframe®,2024-03-17T22:07:46.378167,PS5,"アクション, シューティング, その他",Digital Extremes Ltd.,2020/11/26,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), 日本語, 英語",4.34,665635件の評価,67％,15％,9％,2％,7％,無料,無料,無料,無料,JAP
