id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN,País Store
228748,Fortnite,2024-04-01T15:29:34.388335,PS5,"Action, Adventure",Epic Games,7/21/2017,"Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish",4.32,6756756 ratings,71%,10%,8%,1%,10%,Free,Free,Free,Free,USA
10007788,NBA 2K24 Kobe Bryant Edition for PS5™,2024-04-01T15:29:35.664588,PS5,Sport,2K,9/8/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish",3.1,24099 ratings,35%,13%,12%,8%,33%,$69.99,$17.49,$69.99,Included,USA
10008651,MLB® The Show™ 24 PS5®,2024-04-01T15:29:37.956623,"PS4, PS5",Sport,Sony Interactive Entertainment,3/19/2024,English,4.08,694 ratings,68%,9%,5%,3%,16%,$69.99,$69.99,$69.99,$69.99,USA
10001130,Call of Duty®: Modern Warfare® III - Cross-Gen Bundle,2024-04-01T15:29:38.825363,"PS4, PS5",Action,Activision,11/2/2023,"English, French (France), Portuguese (Brazil), Spanish (Mexico)",4.04,302266 ratings,62%,11%,12%,2%,14%,$69.99,$45.49,$69.99,$45.49,USA
10006239,Madden NFL 24,2024-04-01T15:29:40.067362,"PS4, PS5",Sport,Electronic Arts Inc,8/18/2023,English,3.18,9939 ratings,37%,13%,12%,8%,30%,$69.99,Included,$69.99,Included,USA
10007176,EA SPORTS FC™ 24 Standard Edition PS4 & PS5,2024-04-01T15:29:41.547463,"PS4, PS5",Sport,Electronic Arts Inc,9/29/2023,"English, French (France), Spanish (Mexico)",3.4,62723 ratings,45%,12%,10%,6%,28%,$69.99,$69.99,$69.99,$69.99,USA
10005844,Dragon's Dogma 2,2024-04-01T15:29:42.909513,PS5,"Action, Role Playing Games","Capcom U.S.A., Inc.",3/22/2024,"Arabic, English, French (France), German, Italian, Japanese, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.12,13723 ratings,68%,9%,5%,4%,14%,$69.99,$69.99,$69.99,$69.99,USA
10000657,HELLDIVERS™ 2,2024-04-01T15:29:44.050741,PS5,Action,Sony Interactive Entertainment,2/8/2024,"English, French (France), Portuguese (Brazil), Spanish (Mexico)",4.51,54632 ratings,81%,7%,2%,1%,8%,$39.99,$39.99,$39.99,$39.99,USA
203897,Tom Clancy's Rainbow Six® Siege Deluxe Edition,2024-04-01T15:29:45.220546,"PS4, PS5","Action, Shooter",Ubisoft Entertainment,3/12/2024,No hay información,4.34,259924 ratings,73%,10%,5%,2%,11%,$39.99,$39.99,$39.99,$39.99,USA
201930,Grand Theft Auto Online (PlayStation®5),2024-04-01T15:29:46.023418,PS5,"Action, Adventure",Rockstar Games,3/15/2022,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.52,681538 ratings,79%,8%,5%,1%,7%,$39.99,$19.99,$39.99,$19.99,USA
