id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original,Oferta,Oferta PSPlus,Otra promo diferente a PSPLUS,País Store
228748,Fortnite,2024-04-02T19:36:24.267701,PS5,"Action, Adventure",Epic Games,7/21/2017,"Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish",4.32,6759291 ratings,71%,10%,8%,1%,10%,Free,Free,No hay información,No hay otra promoción,USA
10007788,NBA 2K24 Kobe Bryant Edition for PS5™,2024-04-02T19:36:26.020110,PS5,Sport,2K,9/8/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish",3.1,24479 ratings,35%,12%,12%,8%,33%,$69.99,$17.49,Included,No hay otra promoción,USA
10008651,MLB® The Show™ 24 PS5®,2024-04-02T19:36:27.907604,"PS4, PS5",Sport,Sony Interactive Entertainment,3/19/2024,English,4.07,727 ratings,67%,8%,5%,3%,17%,$69.99,$69.99,No hay información,No hay otra promoción,USA
10001130,Call of Duty®: Modern Warfare® III - Cross-Gen Bundle,2024-04-02T19:36:29.848384,"PS4, PS5",Action,Activision,11/2/2023,"English, French (France), Portuguese (Brazil), Spanish (Mexico)",4.04,302898 ratings,62%,11%,12%,2%,14%,$69.99,$45.49,No hay información,No hay otra promoción,USA
10006239,Madden NFL 24,2024-04-02T19:36:31.952101,"PS4, PS5",Sport,Electronic Arts Inc,8/18/2023,English,3.18,9970 ratings,37%,13%,12%,8%,30%,$69.99,$69.99,No hay información,Included,USA
10007176,EA SPORTS FC™ 24 Standard Edition PS4 & PS5,2024-04-02T19:36:33.388125,"PS4, PS5",Sport,Electronic Arts Inc,9/29/2023,"English, French (France), Spanish (Mexico)",3.4,63005 ratings,45%,12%,10%,6%,28%,$69.99,$69.99,No hay información,Game Trial,USA
10005844,Dragon's Dogma 2,2024-04-02T19:36:35.071236,PS5,"Action, Role Playing Games","Capcom U.S.A., Inc.",3/22/2024,"Arabic, English, French (France), German, Italian, Japanese, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.11,14183 ratings,68%,9%,5%,4%,14%,$69.99,$69.99,No hay información,No hay otra promoción,USA
10000657,HELLDIVERS™ 2,2024-04-02T19:36:37.079797,PS5,Action,Sony Interactive Entertainment,2/8/2024,"English, French (France), Portuguese (Brazil), Spanish (Mexico)",4.51,55261 ratings,81%,7%,2%,1%,8%,$39.99,$39.99,No hay información,No hay otra promoción,USA
203897,Tom Clancy's Rainbow Six® Siege Deluxe Edition,2024-04-02T19:36:39.495894,"PS4, PS5","Action, Shooter",Ubisoft Entertainment,3/12/2024,No hay información,4.34,259978 ratings,73%,10%,5%,2%,11%,$39.99,$39.99,No hay información,No hay otra promoción,USA
201930,Grand Theft Auto Online (PlayStation®5),2024-04-02T19:36:41.518495,PS5,"Action, Adventure",Rockstar Games,3/15/2022,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.52,681783 ratings,79%,8%,5%,1%,7%,$19.99,$19.99,No hay información,No hay otra promoción,USA
232352,Apex Legends™ PS5™,2024-04-02T19:36:43.199890,PS5,"Action, Shooter",Electronic Arts Inc,2/8/2022,"Arabic, Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish",4.13,761713 ratings,65%,12%,8%,2%,13%,Free,Free,No hay información,No hay otra promoción,USA
10005275,Honkai: Star Rail,2024-04-02T19:36:45.413542,PS5,"Adventure, Role Playing Games",COGNOSPHERE PTE. LTD.,10/10/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Japanese, Korean, Portuguese (Brazil), Russian, Spanish (Mexico)",4.59,15253 ratings,83%,8%,2%,1%,6%,Free,Free,No hay información,No hay otra promoción,USA
10003386,Rise of the Ronin™,2024-04-02T19:36:46.980959,PS5,"Action, Adventure",Sony Interactive Entertainment,3/22/2024,"English, French (France), Japanese, Portuguese (Brazil), Spanish (Mexico)",4.31,6438 ratings,69%,14%,5%,3%,9%,$69.99,$69.99,No hay información,No hay otra promoción,USA
223118,Roblox,2024-04-02T19:36:50.077228,PS4,Unique,ROBLOX Corporation,10/10/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Spanish",4.24,267827 ratings,68%,9%,11%,1%,10%,Free,Free,No hay información,No hay otra promoción,USA
10007978,WWE 2K24 Cross-Gen Digital Edition,2024-04-02T19:36:52.080524,"PS4, PS5",Sport,2K,3/8/2024,No hay información,4.6,2566 ratings,82%,9%,3%,2%,5%,$69.99,$69.99,No hay información,No hay otra promoción,USA
10008055,SOUTH PARK: SNOW DAY!,2024-04-02T19:36:53.976951,PS5,Action,THQ Nordic,3/26/2024,"English, French (France), German, Japanese, Korean, Polish, Portuguese (Brazil), Spanish, Spanish (Mexico)",3.73,1670 ratings,48%,15%,12%,9%,15%,$29.99,$29.99,No hay información,No hay otra promoción,USA
221852,Destiny 2 PS4™ & PS5™,2024-04-02T19:36:55.944380,"PS4, PS5","Adventure, Shooter, Action",Bungie,12/8/2020,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.28,288898 ratings,70%,11%,6%,2%,10%,Free,Free,No hay información,No hay otra promoción,USA
205342,Warframe®,2024-04-02T19:36:57.985806,PS5,"Action, Shooter, Unique",Digital Extremes,11/26/2020,"English, French (France), German, Italian, Spanish",4.34,666201 ratings,67%,15%,9%,2%,7%,Free,Free,No hay información,No hay otra promoción,USA
212779,Minecraft,2024-04-02T19:37:00.220286,PS4,Adventure,Mojang,12/10/2019,"Bulgarian, Chinese (Simplified), Chinese (Traditional), Czech, Danish, Dutch, English, Finnish, French (Canada), German, Greek, Hungarian, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Slovenian, Spanish, Spanish (Mexico), Swedish, Turkish, Ukrainian",4.32,1562931 ratings,72%,9%,7%,1%,11%,$19.99,$19.99,No hay información,No hay otra promoción,USA
10000896,Genshin Impact,2024-04-02T19:37:02.089658,"PS4, PS5","Action, Adventure, Role Playing Games",COGNOSPHERE PTE. LTD.,4/27/2021,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Portugal), Russian, Spanish, Thai, Turkish, Vietnamese",4.42,328052 ratings,76%,9%,5%,1%,9%,Free,Free,No hay información,No hay otra promoción,USA
10006891,Stellar Blade™,2024-04-02T19:37:04.140792,PS5,"Action, Adventure",Sony Interactive Entertainment,4/26/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,$69.99,$69.99,No hay información,No hay otra promoción,USA
201579,FINAL FANTASY XIV Online - Starter Edition,2024-04-02T19:37:12.063215,"PS4, PS5","Role Playing Games, Role Playing Games",SQUARE ENIX CO. LTD.,4/27/2021,"English, French (France), German, Japanese",4.5,41769 ratings,79%,9%,3%,1%,8%,$19.99,$19.99,No hay información,No hay otra promoción,USA
209441,Red Dead Redemption 2,2024-04-02T19:37:14.407347,PS4,"Action, Adventure, Unique",Rockstar Games,10/26/2018,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.71,232033 ratings,88%,5%,2%,1%,4%,$59.99,$19.79,No hay información,No hay otra promoción,USA
10000956,Gran Turismo® 7,2024-04-02T19:37:16.905965,"PS4, PS5",Driving/Racing,Sony Interactive Entertainment,3/4/2022,"English, French (France), Japanese, Portuguese (Brazil), Spanish (Mexico)",4.35,18350 ratings,71%,13%,5%,2%,9%,$69.99,$39.89,No hay información,No hay otra promoción,USA
10009025,Planet Zoo,2024-04-02T19:37:19.590066,PS5,"Casual, Family, Simulation",Frontier Developments PLC,3/26/2024,"Chinese (Simplified), Chinese (Traditional), Czech, Danish, Dutch, English, French (France), German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Brazil), Spanish, Spanish (Mexico), Swedish",4.57,710 ratings,82%,8%,3%,2%,6%,$49.99,$49.99,No hay información,No hay otra promoción,USA
10004911,Mortal Kombat™ 1,2024-04-02T19:37:21.582718,PS5,Fighting,Warner Bros. Interactive,9/19/2023,"English, French (France), German, Italian, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.42,20995 ratings,70%,17%,5%,2%,6%,$69.99,$34.99,Game Trial,No hay otra promoción,USA
10003999,FINAL FANTASY VII REBIRTH,2024-04-02T19:37:23.422452,PS5,Role Playing Games,SQUARE ENIX CO. LTD.,2/29/2024,"English, French (France), German, Italian, Japanese, Portuguese (Brazil), Spanish, Spanish (Mexico)",4.75,26607 ratings,90%,3%,2%,1%,4%,$69.99,$69.99,No hay información,No hay otra promoción,USA
204861,The Elder Scrolls Online,2024-04-02T19:37:25.517153,"PS4, PS5","Role Playing Games, Role Playing Games",Bethesda Softworks,6/15/2021,No hay información,4.35,71807 ratings,70%,14%,6%,2%,8%,$19.99,$4.99,No hay información,No hay otra promoción,USA
10002456,Marvel’s Spider-Man 2,2024-04-02T19:37:27.222318,PS5,Action,Sony Interactive Entertainment,10/20/2023,"English, French (France), Portuguese (Brazil), Spanish (Mexico)",4.87,113061 ratings,92%,5%,1%,1%,1%,$69.99,$69.99,Game Trial,No hay otra promoción,USA
10001609,Suicide Squad: Kill the Justice League,2024-04-02T19:37:29.332888,PS5,Shooter,Warner Bros. Interactive,2/2/2024,"Arabic, Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Spanish, Spanish (Mexico)",4.23,9701 ratings,64%,17%,6%,4%,9%,$69.99,$69.99,No hay información,No hay otra promoción,USA
227319,Dead by Daylight PS4® & PS5®,2024-04-02T19:37:31.751508,"PS4, PS5","Horror, Action, Horror",Starbreeze Publishing AB,11/12/2020,No hay información,4.19,102881 ratings,67%,13%,5%,2%,13%,$29.99,$29.99,Included,No hay otra promoción,USA
10000333,ELDEN RING PS4 & PS5,2024-04-02T19:37:33.348765,"PS4, PS5",Role Playing Games,Bandai Namco Entertainment America Inc.,2/25/2022,"English, French (France), Portuguese (Brazil), Spanish",4.72,65789 ratings,89%,4%,1%,1%,5%,$59.99,$59.99,No hay información,No hay otra promoción,USA
228857,The Sims™ 4,2024-04-02T19:37:35.771804,PS4,"Action, Simulation",Electronic Arts Inc,11/17/2017,"Chinese (Traditional), English, French (France), Portuguese (Brazil), Spanish",3.98,88532 ratings,60%,13%,9%,3%,16%,Free,Free,No hay información,No hay otra promoción,USA
10007460,Baldur's Gate 3,2024-04-02T19:37:38.052683,PS5,Role Playing Games,Larian Studios Games Ltd,9/6/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish, Ukrainian",4.82,44103 ratings,92%,3%,1%,1%,3%,$69.99,$69.99,Game Trial,No hay otra promoción,USA
10002788,UFC® 5,2024-04-02T19:37:40.233177,PS5,Fighting,Electronic Arts Inc,10/26/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Spanish, Spanish (Mexico)",3.01,6798 ratings,30%,16%,12%,9%,34%,$69.99,$41.99,No hay información,Game Trial,USA
232447,Hogwarts Legacy PS5 Version,2024-04-02T19:37:42.172476,PS5,Unique,Warner Bros. Interactive,2/10/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), Japanese, Korean, Portuguese (Brazil), Spanish (Mexico)",4.5,33247 ratings,72%,17%,6%,2%,4%,$69.99,$34.99,Game Trial,No hay otra promoción,USA
10005114,STAR WARS Jedi: Survivor™,2024-04-02T19:37:44.678810,PS5,Action,Electronic Arts Inc,4/28/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Spanish, Spanish (Mexico)",4.51,11086 ratings,67%,23%,5%,2%,3%,$69.99,$31.49,No hay información,No hay otra promoción,USA
200763,Call of Duty®: Black Ops III - Zombies Chronicles Edition,2024-04-02T19:37:46.700567,PS4,"Action, Shooter, Shooter",Activision,8/29/2017,No hay información,4.44,362931 ratings,76%,10%,5%,2%,8%,$59.99,$19.79,No hay información,No hay otra promoción,USA
10001988,The Outlast Trials,2024-04-02T19:37:48.850531,"PS4, PS5",Horror,Red Barrels,3/5/2024,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish",4.79,2206 ratings,90%,6%,1%,1%,2%,$39.99,$39.99,No hay información,No hay otra promoción,USA
