id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN
10007176,EA SPORTS FC™ 24 Standard Edition para PS4 y PS5,2024-02-22T15:18:41.303892,"PS4, PS5",Deporte,EA Swiss Sarl,28/9/2023,No hay información,3.45,52.965 calificaciones,46 %,12 %,10 %,5 %,27 %,"79,99 €","79,99 €","79,99 €","79,99 €"
228748,Fortnite,2024-02-22T15:18:42.869005,PS5,"Acción, Aventura",EPIC GAMES,21/7/2017,"Alemán, Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Turco, Árabe",4.32,6.642.388 calificaciones,71 %,10 %,8 %,1 %,10 %,Gratis,Gratis,Gratis,Gratis
10000657,HELLDIVERS™ 2,2024-02-22T15:18:45.624867,PS5,Acción,Sony Interactive Entertainment Europe,8/2/2024,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Portugal), Ruso",4.29,22.576 calificaciones,75 %,8 %,3 %,2 %,13 %,"39,99 €","39,99 €","39,99 €","39,99 €"
10001130,Call of Duty®: Modern Warfare® III - Lote Multigeneración,2024-02-22T15:18:49.127277,"PS4, PS5",Acción,Activision Blizzard Int'l BV,2/11/2023,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",4.04,281.688 calificaciones,62 %,11 %,11 %,2 %,14 %,"109,99 €","87,99 €",,"87,99 €"
10007788,Edición Kobe Bryant de NBA 2K24 para PS5™,2024-02-22T15:18:52.585963,PS5,Deporte,2K,7/9/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés",3.21,17.575 calificaciones,37 %,14 %,12 %,7 %,30 %,"99,99 €","34,99 €",,"34,99 €"
10002788,UFC™ 5,2024-02-22T15:18:56.077461,PS5,Lucha,EA Swiss Sarl,26/10/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil)",3.02,5.734 calificaciones,30 %,16 %,12 %,9 %,33 %,"79,99 €","47,99 €",,"47,99 €"
201930,Grand Theft Auto Online (PlayStation®5),2024-02-22T15:18:59.816790,PS5,"Acción, Aventura",Rockstar Games,14/3/2022,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil), Ruso",4.52,674.144 calificaciones,79 %,8 %,5 %,1 %,7 %,"19,99 €","9,99 €",,"9,99 €"
225700,SKULL AND BONES™,2024-02-22T15:19:03.360066,PS5,"Acción, Aventura",UBISOFT ENTERTAINMENT SA,15/2/2024,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil)",3.27,6.001 calificaciones,40 %,13 %,9 %,9 %,29 %,Gratis,Gratis,Gratis,Gratis
10003999,FINAL FANTASY VII REBIRTH,2024-02-22T15:19:05.889938,PS5,Juegos de rol,Square Enix LTD,28/2/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"79,99 €","79,99 €","79,99 €","79,99 €"
203715,Rocket League®,2024-02-22T15:19:08.715930,PS4,"Deporte, Acción, Conducción/Carreras",Psyonix,6/7/2015,"Alemán, Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Neerlandés, Polaco, Portugués (Portugal), Ruso, Turco",4.37,1.086.880 calificaciones,71 %,12 %,8 %,1 %,8 %,Gratis,Gratis,Gratis,Gratis
10002427,eFootball™ 2024,2024-02-22T15:19:11.040363,PS5,Deporte,Konami,30/9/2021,"Alemán, Español, Francés (Francia), Griego, Inglés, Italiano, Neerlandés, Portugués (Portugal), Ruso, Sueco, Turco, Árabe",3.75,261.113 calificaciones,53 %,12 %,12 %,3 %,20 %,Gratis,Gratis,Gratis,Gratis
10001850,God of War Ragnarök,2024-02-22T15:19:14.198217,"PS4, PS5",Acción,Sony Interactive Entertainment Europe,8/11/2022,No hay información,4.85,71.334 calificaciones,92 %,4 %,2 %,0 %,2 %,"79,99 €","49,59 €",,"49,59 €"
10008568,Tomb Raider I-III Remastered Starring Lara Croft,2024-02-22T15:19:16.758124,"PS4, PS5",Acción,ASPYR MEDIA,13/2/2024,No hay información,4.56,2.450 calificaciones,83 %,6 %,3 %,2 %,7 %,"29,99 €","29,99 €","29,99 €","29,99 €"
10008286,ARK: Survival Ascended,2024-02-22T15:19:20.078854,PS5,"Aventura, Juegos de rol",WILDCARD PROPERTIES,30/11/2023,"Alemán, Chino (Simplificado), Danés, Español, Francés (Francia), Inglés, Italiano, Japonés, Neerlandés, Portugués (Brasil), Ruso, Turco",4.14,6.896 calificaciones,69 %,9 %,4 %,3 %,15 %,"44,99 €","44,99 €","44,99 €","44,99 €"
